date,fsi_variance_equal,fsi_std,p_calm,p_stress,p_crisis,hmm_stress_prob,combined_stress,combined_stress_norm,regime_realtime,early_warning,possible_false_alarm,agreement
2022-04-01,1.3003782007864224,3.0508312695272615,4.015271569972227e-270,1.2411274310760402e-114,1.0,1.0,2.0254156347636307,1.0,CRISIS,False,False,True
2022-05-01,0.7567683705268994,1.5734333117984005,0.0,1.5852213297045892e-105,1.0,1.0,1.2867166558992003,0.7654206102701341,CRISIS,False,False,True
2022-06-01,0.6214982516318196,1.2058023635097677,0.0,5.780314769738633e-180,1.0,1.0,1.1029011817548837,0.707048630639182,CRISIS,False,False,True
2022-07-01,0.4811622017691105,0.8244034595129061,8.6363065e-316,1.5124057830032814e-257,1.0,1.0,0.9122017297564531,0.6464905923156695,CRISIS,False,False,True
2022-08-01,0.5107890361143241,0.904921916169022,0.0,2.3397314457620218e-266,1.0,1.0,0.9524609580845109,0.659275211602282,CRISIS,False,False,True
2022-09-01,0.4274831584752978,0.6785170083844245,0.0,7.910335500533671e-285,1.0,1.0,0.8392585041922123,0.6233269250745269,CRISIS,False,False,True
2022-10-01,0.4240901062719028,0.6692955261434393,0.0,0.0,1.0,1.0,0.8346477630717197,0.6218627497213807,CRISIS,False,False,True
2022-11-01,0.2616252918460184,0.22775607693772806,0.0,0.0,1.0,1.0,0.613878038468864,0.5517556712632787,CRISIS,False,True,False
2022-12-01,-0.2249503073577837,-1.0946368536706141,0.0,0.0,1.0,1.0,-0.04731842683530707,0.3417877848029103,CRISIS,False,True,False
2023-01-01,0.1683301742353498,-0.025797130807379904,0.0,0.0,1.0,1.0,0.48710143459631006,0.511496811809912,CRISIS,False,True,False
2023-02-01,0.305326707194293,0.34652578673966106,0.0,0.0,1.0,1.0,0.6732628933698306,0.5706137764190217,CRISIS,False,True,False
2023-03-01,0.0273469022567044,-0.40895502549766727,0.0,0.0,1.0,1.0,0.29552248725116637,0.450659483156231,CRISIS,False,True,False
2023-04-01,-0.2071811750513575,-1.0463447178061926,0.0,1.106150024891823e-226,1.0,1.0,-0.023172358903096324,0.34945554940253265,CRISIS,False,True,False
2023-05-01,0.0733373188366118,-0.28396437273883685,8.2943523e-317,4.97012333950169e-159,1.0,1.0,0.3580178136305816,0.47050534181111686,CRISIS,False,True,False
2023-06-01,-0.1690973740718054,-0.9428423036521267,1.1451931054125032e-41,0.9999999988706384,1.129361535048201e-09,0.9999999999999999,0.028578848173936577,0.36588953255569234,STRESS,False,False,True
2023-07-01,0.1198520905611831,-0.15754865152699268,1.6653051258581682e-16,1.0,5.238839212178344e-28,1.0,0.42122567423650364,0.4905774710427843,STRESS,False,False,True
2023-08-01,0.0586110777614693,-0.32398667785250945,9.784364796852084e-14,0.9999999999999024,7.930513145942236e-20,0.9999999999999024,0.3380066610736965,0.46415065053781696,STRESS,False,False,True
2023-09-01,-0.0084674570548893,-0.5062896547832627,1.537082502107429e-26,1.0,2.339792791740836e-28,1.0,0.24685517260836864,0.4352048131277862,STRESS,False,False,True
2023-10-01,-0.0489918848722031,-0.6164250930383939,3.5547721372335084e-32,1.0,5.071268315345174e-40,1.0,0.19178745348080306,0.4177176467496522,STRESS,False,False,True
2023-11-01,-0.0301213638036712,-0.5651396531216457,1.61092268762754e-30,1.0,2.497358301218712e-53,1.0,0.21743017343917714,0.4258606844022779,STRESS,False,False,True
2023-12-01,-0.2071898894077656,-1.0463684012858567,6.5905963168646795e-22,1.0,2.9824607548937035e-55,1.0,-0.023184200642928365,0.3494517889694163,STRESS,False,False,True
2024-01-01,-0.2093977395785973,-1.0523687955977126,0.9999942394623468,5.760537660033385e-06,2.528429935645398e-44,5.760537660033385e-06,-0.5261815175300263,0.18972122617302456,CALM,False,False,True
2024-02-01,-0.115885140758577,-0.7982245273591121,0.9999977720277208,2.227972283426993e-06,1.0300544077142537e-44,2.227972283426993e-06,-0.3991111496934143,0.23007337257193347,CALM,False,False,True
2024-03-01,0.0269315212492854,-0.4100839290197893,0.9999998339300756,1.6606992087528529e-07,1.260749091972235e-50,1.6606992087528529e-07,-0.2050418814749342,0.29170152125841975,CALM,False,False,True
2024-04-01,0.0995804430499355,-0.21264200886863335,0.0020634205338819,0.997936579466129,4.2429646123470025e-39,0.997936579466129,0.3926472852987478,0.4815021897329507,STRESS,False,False,True
2024-05-01,0.0010617466570416,-0.4803916203491395,0.9999999995021368,4.978582384482951e-10,4.812178694901904e-59,4.978582384482951e-10,-0.24019580992564063,0.2805381281598522,CALM,False,False,True
2024-06-01,0.16991442677253,-0.02149152165046053,0.9999999999112248,8.877209390004973e-11,4.622048075668311e-62,8.877209390004973e-11,-0.010745760780844217,0.35340170864647436,CALM,False,False,True
2024-07-01,0.0514336244640403,-0.3434932324677074,0.9999999999323136,6.768426404890024e-11,5.5157402700147307e-64,6.768426404890024e-11,-0.17174661620001158,0.302274681953852,CALM,False,False,True
2024-08-01,-0.0598770707838283,-0.6460083539364843,0.9999999999997726,2.3130811455592386e-13,1.3230324219032806e-68,2.3130811455592386e-13,-0.3230041769681265,0.2542417114039844,CALM,False,False,True
2024-09-01,0.1317159538417851,-0.12530558599381786,0.9999999999994316,5.621638859236044e-13,1.1523523727745284e-70,5.621638859236044e-13,-0.06265279299662785,0.33691824205418924,CALM,False,False,True
2024-10-01,0.1340028293710356,-0.11909042017372623,0.9999999999972288,2.775641149390761e-12,1.8747355425285184e-70,2.775641149390761e-12,-0.059545210085475295,0.33790507826716704,CALM,False,False,True
2024-11-01,0.0684917645575746,-0.29713339875239564,0.9999999999996732,3.28419748705442e-13,7.199532695017945e-75,3.28419748705442e-13,-0.14856669937603362,0.3096356380376369,CALM,False,False,True
