group,forecast_date,info_loss_potential,cancellation_index,mean_loss_gain_agg_minus_disagg,share_models_helped,n_models
Other models,2024-05-01,0.9020506557081569,0.09794934429184304,-78518.10542658316,0.4,5
Other models,2024-06-01,0.9057419759857689,0.09425802401423115,-101357.13026585868,0.4,5
Other models,2024-07-01,0.9225176135939362,0.0774823864060638,-163330.67523957897,0.4,5
Other models,2024-08-01,0.8832659220875538,0.1167340779124463,-123441.31648200615,0.4,5
Other models,2024-09-01,0.9697885347486295,0.030211465251370407,-188541.52115773634,0.4,5
Other models,2024-10-01,0.9369930978000245,0.06300690219997551,-124111.14906218051,0.4,5
Other models,2024-11-01,0.9086666525619556,0.09133334743804447,-296367.2430706691,0.2,5
Other models,2024-12-01,0.9617268284835457,0.03827317151645423,-243370.65860192972,0.2,5
Other models,2025-01-01,0.9463769739594394,0.05362302604056055,-207640.24395275727,0.0,5
Other models,2025-02-01,0.85443305303301,0.14556694696698988,4189.868615322228,0.4,5
Other models,2025-03-01,0.8323097744821757,0.16769022551782437,-47415.132851002825,0.6,5
