alpha,pool_label,pool_display,pool_size,pool_models,model,rmse,mae,policy_loss_ratio_2_to_1,rmse_rank,n_common_dates
0.97,linear_only,Linear/Bayesian pool only,4,"Naive,ARIMA,VECM,BVAR",MS-VAR,315.24487674590387,218.28169305684952,409.60540736642156,1,27
0.97,linear_only,Linear/Bayesian pool only,4,"Naive,ARIMA,VECM,BVAR",MS-VECM,323.40454920365477,226.0533937185298,427.5178453673512,2,27
0.97,linear_only,Linear/Bayesian pool only,4,"Naive,ARIMA,VECM,BVAR",XGBoost,886.1322330488664,690.4889368127893,1303.059497974537,3,27
0.97,linear_only,Linear/Bayesian pool only,4,"Naive,ARIMA,VECM,BVAR",ARIMA,1249.8610855014506,1105.2029582356054,2159.0893438168073,4,27
0.97,linear_only,Linear/Bayesian pool only,4,"Naive,ARIMA,VECM,BVAR",DMS,1336.996074831685,1168.0333754569597,2324.2811861167866,5,27
0.97,linear_only,Linear/Bayesian pool only,4,"Naive,ARIMA,VECM,BVAR",DMA,1337.2023512387243,1168.2906161284143,2325.2525700755045,6,27
0.97,linear_only,Linear/Bayesian pool only,4,"Naive,ARIMA,VECM,BVAR",Naive,1350.8071814239772,1180.5794522485394,2352.246118915206,7,27
0.97,linear_only,Linear/Bayesian pool only,4,"Naive,ARIMA,VECM,BVAR",BVAR,1359.5617455191311,1190.9719001096005,2366.2130132693032,8,27
0.97,linear_only,Linear/Bayesian pool only,4,"Naive,ARIMA,VECM,BVAR",VECM,1556.3436578458402,1393.163120527872,2767.0223835968095,9,27
0.99,full7,Full seven-model pool,7,"Naive,ARIMA,VECM,BVAR,XGBoost,MS-VAR,MS-VECM",MS-VAR,315.24487674590387,218.28169305684952,409.60540736642156,1,27
0.99,full7,Full seven-model pool,7,"Naive,ARIMA,VECM,BVAR,XGBoost,MS-VAR,MS-VECM",DMA,321.6910294461965,222.50003543669786,420.97733443627607,2,27
0.99,full7,Full seven-model pool,7,"Naive,ARIMA,VECM,BVAR,XGBoost,MS-VAR,MS-VECM",MS-VECM,323.40454920365477,226.0533937185298,427.5178453673512,3,27
0.99,full7,Full seven-model pool,7,"Naive,ARIMA,VECM,BVAR,XGBoost,MS-VAR,MS-VECM",DMS,325.9600730190161,228.04450298707306,432.24418924895986,4,27
0.99,full7,Full seven-model pool,7,"Naive,ARIMA,VECM,BVAR,XGBoost,MS-VAR,MS-VECM",XGBoost,886.1322330488664,690.4889368127893,1303.059497974537,5,27
0.99,full7,Full seven-model pool,7,"Naive,ARIMA,VECM,BVAR,XGBoost,MS-VAR,MS-VECM",ARIMA,1249.8610855014506,1105.2029582356054,2159.0893438168073,6,27
0.99,full7,Full seven-model pool,7,"Naive,ARIMA,VECM,BVAR,XGBoost,MS-VAR,MS-VECM",Naive,1350.8071814239772,1180.5794522485394,2352.246118915206,7,27
0.99,full7,Full seven-model pool,7,"Naive,ARIMA,VECM,BVAR,XGBoost,MS-VAR,MS-VECM",BVAR,1359.5617455191311,1190.9719001096005,2366.2130132693032,8,27
0.99,full7,Full seven-model pool,7,"Naive,ARIMA,VECM,BVAR,XGBoost,MS-VAR,MS-VECM",VECM,1556.3436578458402,1393.163120527872,2767.0223835968095,9,27
0.99,regime_only,Regime-only pool,2,"MS-VAR,MS-VECM",MS-VAR,315.24487674590387,218.28169305684952,409.60540736642156,1,27
0.99,regime_only,Regime-only pool,2,"MS-VAR,MS-VECM",DMA,321.6910294438517,222.50003543622077,420.97733443245147,2,27
0.99,regime_only,Regime-only pool,2,"MS-VAR,MS-VECM",MS-VECM,323.40454920365477,226.0533937185298,427.5178453673512,3,27
0.99,regime_only,Regime-only pool,2,"MS-VAR,MS-VECM",DMS,325.9600730190161,228.04450298707306,432.24418924895986,4,27
0.99,regime_only,Regime-only pool,2,"MS-VAR,MS-VECM",XGBoost,886.1322330488664,690.4889368127893,1303.059497974537,5,27
0.99,regime_only,Regime-only pool,2,"MS-VAR,MS-VECM",ARIMA,1249.8610855014506,1105.2029582356054,2159.0893438168073,6,27
0.99,regime_only,Regime-only pool,2,"MS-VAR,MS-VECM",Naive,1350.8071814239772,1180.5794522485394,2352.246118915206,7,27
0.99,regime_only,Regime-only pool,2,"MS-VAR,MS-VECM",BVAR,1359.5617455191311,1190.9719001096005,2366.2130132693032,8,27
0.99,regime_only,Regime-only pool,2,"MS-VAR,MS-VECM",VECM,1556.3436578458402,1393.163120527872,2767.0223835968095,9,27
0.99,no_regime,Pool excluding regime models,5,"Naive,ARIMA,VECM,BVAR,XGBoost",MS-VAR,315.24487674590387,218.28169305684952,409.60540736642156,1,27
0.99,no_regime,Pool excluding regime models,5,"Naive,ARIMA,VECM,BVAR,XGBoost",MS-VECM,323.40454920365477,226.0533937185298,427.5178453673512,2,27
0.99,no_regime,Pool excluding regime models,5,"Naive,ARIMA,VECM,BVAR,XGBoost",XGBoost,886.1322330488664,690.4889368127893,1303.059497974537,3,27
0.99,no_regime,Pool excluding regime models,5,"Naive,ARIMA,VECM,BVAR,XGBoost",ARIMA,1249.8610855014506,1105.2029582356054,2159.0893438168073,4,27
0.99,no_regime,Pool excluding regime models,5,"Naive,ARIMA,VECM,BVAR,XGBoost",DMA,1344.8850612237025,1174.7675186635674,2339.147563322704,5,27
0.99,no_regime,Pool excluding regime models,5,"Naive,ARIMA,VECM,BVAR,XGBoost",DMS,1349.9171749501684,1179.6000308214266,2347.4144968457204,6,27
0.99,no_regime,Pool excluding regime models,5,"Naive,ARIMA,VECM,BVAR,XGBoost",Naive,1350.8071814239772,1180.5794522485394,2352.246118915206,7,27
0.99,no_regime,Pool excluding regime models,5,"Naive,ARIMA,VECM,BVAR,XGBoost",BVAR,1359.5617455191311,1190.9719001096005,2366.2130132693032,8,27
0.99,no_regime,Pool excluding regime models,5,"Naive,ARIMA,VECM,BVAR,XGBoost",VECM,1556.3436578458402,1393.163120527872,2767.0223835968095,9,27
0.99,linear_only,Linear/Bayesian pool only,4,"Naive,ARIMA,VECM,BVAR",MS-VAR,315.24487674590387,218.28169305684952,409.60540736642156,1,27
0.99,linear_only,Linear/Bayesian pool only,4,"Naive,ARIMA,VECM,BVAR",MS-VECM,323.40454920365477,226.0533937185298,427.5178453673512,2,27
0.99,linear_only,Linear/Bayesian pool only,4,"Naive,ARIMA,VECM,BVAR",XGBoost,886.1322330488664,690.4889368127893,1303.059497974537,3,27
0.99,linear_only,Linear/Bayesian pool only,4,"Naive,ARIMA,VECM,BVAR",ARIMA,1249.8610855014506,1105.2029582356054,2159.0893438168073,4,27
0.99,linear_only,Linear/Bayesian pool only,4,"Naive,ARIMA,VECM,BVAR",DMA,1344.9084099063805,1174.7866387606666,2339.181341542684,5,27
0.99,linear_only,Linear/Bayesian pool only,4,"Naive,ARIMA,VECM,BVAR",DMS,1349.9171749501684,1179.6000308214266,2347.4144968457204,6,27
0.99,linear_only,Linear/Bayesian pool only,4,"Naive,ARIMA,VECM,BVAR",Naive,1350.8071814239772,1180.5794522485394,2352.246118915206,7,27
0.99,linear_only,Linear/Bayesian pool only,4,"Naive,ARIMA,VECM,BVAR",BVAR,1359.5617455191311,1190.9719001096005,2366.2130132693032,8,27
0.99,linear_only,Linear/Bayesian pool only,4,"Naive,ARIMA,VECM,BVAR",VECM,1556.3436578458402,1393.163120527872,2767.0223835968095,9,27
0.995,full7,Full seven-model pool,7,"Naive,ARIMA,VECM,BVAR,XGBoost,MS-VAR,MS-VECM",MS-VAR,315.24487674590387,218.28169305684952,409.60540736642156,1,27
0.995,full7,Full seven-model pool,7,"Naive,ARIMA,VECM,BVAR,XGBoost,MS-VAR,MS-VECM",DMA,321.91387804484646,222.71678579016574,421.4731067813192,2,27
0.995,full7,Full seven-model pool,7,"Naive,ARIMA,VECM,BVAR,XGBoost,MS-VAR,MS-VECM",DMS,323.40454920365477,226.0533937185298,427.5178453673512,3,27
0.995,full7,Full seven-model pool,7,"Naive,ARIMA,VECM,BVAR,XGBoost,MS-VAR,MS-VECM",MS-VECM,323.40454920365477,226.0533937185298,427.5178453673512,4,27
0.995,full7,Full seven-model pool,7,"Naive,ARIMA,VECM,BVAR,XGBoost,MS-VAR,MS-VECM",XGBoost,886.1322330488664,690.4889368127893,1303.059497974537,5,27
0.995,full7,Full seven-model pool,7,"Naive,ARIMA,VECM,BVAR,XGBoost,MS-VAR,MS-VECM",ARIMA,1249.8610855014506,1105.2029582356054,2159.0893438168073,6,27
0.995,full7,Full seven-model pool,7,"Naive,ARIMA,VECM,BVAR,XGBoost,MS-VAR,MS-VECM",Naive,1350.8071814239772,1180.5794522485394,2352.246118915206,7,27
0.995,full7,Full seven-model pool,7,"Naive,ARIMA,VECM,BVAR,XGBoost,MS-VAR,MS-VECM",BVAR,1359.5617455191311,1190.9719001096005,2366.2130132693032,8,27
0.995,full7,Full seven-model pool,7,"Naive,ARIMA,VECM,BVAR,XGBoost,MS-VAR,MS-VECM",VECM,1556.3436578458402,1393.163120527872,2767.0223835968095,9,27
0.995,regime_only,Regime-only pool,2,"MS-VAR,MS-VECM",MS-VAR,315.24487674590387,218.28169305684952,409.60540736642156,1,27
0.995,regime_only,Regime-only pool,2,"MS-VAR,MS-VECM",DMA,321.9138780430139,222.71678578942408,421.4731067777461,2,27
0.995,regime_only,Regime-only pool,2,"MS-VAR,MS-VECM",DMS,323.40454920365477,226.0533937185298,427.5178453673512,3,27
0.995,regime_only,Regime-only pool,2,"MS-VAR,MS-VECM",MS-VECM,323.40454920365477,226.0533937185298,427.5178453673512,4,27
0.995,regime_only,Regime-only pool,2,"MS-VAR,MS-VECM",XGBoost,886.1322330488664,690.4889368127893,1303.059497974537,5,27
0.995,regime_only,Regime-only pool,2,"MS-VAR,MS-VECM",ARIMA,1249.8610855014506,1105.2029582356054,2159.0893438168073,6,27
0.995,regime_only,Regime-only pool,2,"MS-VAR,MS-VECM",Naive,1350.8071814239772,1180.5794522485394,2352.246118915206,7,27
0.995,regime_only,Regime-only pool,2,"MS-VAR,MS-VECM",BVAR,1359.5617455191311,1190.9719001096005,2366.2130132693032,8,27
0.995,regime_only,Regime-only pool,2,"MS-VAR,MS-VECM",VECM,1556.3436578458402,1393.163120527872,2767.0223835968095,9,27
0.995,no_regime,Pool excluding regime models,5,"Naive,ARIMA,VECM,BVAR,XGBoost",MS-VAR,315.24487674590387,218.28169305684952,409.60540736642156,1,27
0.995,no_regime,Pool excluding regime models,5,"Naive,ARIMA,VECM,BVAR,XGBoost",MS-VECM,323.40454920365477,226.0533937185298,427.5178453673512,2,27
0.995,no_regime,Pool excluding regime models,5,"Naive,ARIMA,VECM,BVAR,XGBoost",XGBoost,886.1322330488664,690.4889368127893,1303.059497974537,3,27
0.995,no_regime,Pool excluding regime models,5,"Naive,ARIMA,VECM,BVAR,XGBoost",ARIMA,1249.8610855014506,1105.2029582356054,2159.0893438168073,4,27
