model,varset,candidate_id,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,random_state,fold1_rmse,fold2_rmse,fold3_rmse,mean_validation_rmse,std_validation_rmse
XGBoost,full,63,400,3,0.1,1.0,1.0,1,42,1006.564952973786,893.5255495724491,927.9747599897498,942.6884208453284,47.3064163524166
XGBoost,full,64,400,3,0.1,1.0,1.0,3,42,1079.6031285293468,873.8684986866689,931.3371490366984,961.6029254175714,86.67447680479985
XGBoost,full,65,400,4,0.03,0.8,0.8,1,42,1056.5359103238832,775.8822674988428,911.8206007474939,914.7462595234066,114.59504473637053
XGBoost,full,66,400,4,0.03,0.8,0.8,3,42,1109.7733317115092,823.5281434139758,920.6575638556099,951.3196796603648,118.85341382024816
XGBoost,full,67,400,4,0.03,0.8,1.0,1,42,1029.0266438459553,717.6243809188784,934.2465961496703,893.6325403048346,130.33282648192576
XGBoost,full,68,400,4,0.03,0.8,1.0,3,42,1072.0569363196516,777.5162109487811,923.5418742584917,924.3716738423082,120.24717917969807
XGBoost,full,69,400,4,0.03,1.0,0.8,1,42,1056.0799672100552,876.2883948909129,932.2900959141796,954.8861526717159,75.11852281556882
XGBoost,full,70,400,4,0.03,1.0,0.8,3,42,1124.2328656050006,872.2030821748868,909.3034878560813,968.5798118786564,111.10059968688881
XGBoost,full,71,400,4,0.03,1.0,1.0,1,42,999.2952096307318,846.6533921406223,970.6130849677921,938.8538955797154,66.23878870979739
XGBoost,full,72,400,4,0.03,1.0,1.0,3,42,1078.721595073213,841.6650172528018,894.8908042623392,938.4258055294513,101.5559862784292
XGBoost,full,73,400,4,0.1,0.8,0.8,1,42,1048.5547644746796,768.9201581786405,906.6188312741589,908.0312513091595,114.16471859365208
XGBoost,full,74,400,4,0.1,0.8,0.8,3,42,1114.2320650346478,861.2637838563261,848.8368015959368,941.4442168289702,122.28474376821288
XGBoost,full,75,400,4,0.1,0.8,1.0,1,42,1051.0492900802387,680.7143058941874,933.7367133341206,888.500103102849,154.53535368308167
XGBoost,full,76,400,4,0.1,0.8,1.0,3,42,1099.1217397686949,767.4632522373843,906.6083196606763,924.3977705555852,135.98207359855908
XGBoost,full,77,400,4,0.1,1.0,0.8,1,42,1052.613538407433,911.9256053697937,940.1043945491476,968.214512775458,60.77777930364398
XGBoost,full,78,400,4,0.1,1.0,0.8,3,42,1123.9363715246418,841.7952313968939,890.1872088052088,951.9729372422481,123.19094370669204
XGBoost,full,79,400,4,0.1,1.0,1.0,1,42,1004.397013726574,814.8443181134757,965.5965764322204,928.2793027574234,81.75977123841835
XGBoost,full,80,400,4,0.1,1.0,1.0,3,42,1084.9393060267532,809.3946112623403,884.9541621412859,926.4293598101264,116.25077410338803
XGBoost,full,81,400,5,0.03,0.8,0.8,1,42,1057.5591014886031,790.4180782260701,908.3583621635487,918.7785139594074,109.30848167769616
XGBoost,full,82,400,5,0.03,0.8,0.8,3,42,1108.1264171457767,833.8125030683748,911.0699574097636,951.0029592079717,115.49318692337897
XGBoost,full,83,400,5,0.03,0.8,1.0,1,42,1027.7805729776514,743.0886416322325,909.7698658330988,893.5463601476608,116.78976994537454
XGBoost,full,84,400,5,0.03,0.8,1.0,3,42,1071.738801583574,780.065431408899,915.9699820107579,922.591405001077,119.16716871430599
XGBoost,full,85,400,5,0.03,1.0,0.8,1,42,1057.3881197447338,844.0819237926578,956.0983766260719,952.5228067211546,87.1185852081138
XGBoost,full,86,400,5,0.03,1.0,0.8,3,42,1122.5471644244587,822.709530589612,887.4449429593021,944.2338793244577,128.8264701993452
XGBoost,full,87,400,5,0.03,1.0,1.0,1,42,996.3132763378624,811.5380171013385,956.4726995198807,921.4413309863606,79.39719429333186
XGBoost,full,88,400,5,0.03,1.0,1.0,3,42,1077.542971585859,774.6874236648467,861.0539347823754,904.4281100110271,127.38749293450667
XGBoost,full,89,400,5,0.1,0.8,0.8,1,42,1046.8433954669163,758.1817823429307,910.0301503749158,905.0184427282542,117.89888219144146
XGBoost,full,90,400,5,0.1,0.8,0.8,3,42,1112.4930010125017,853.9174507169923,854.5912801148921,940.3339106147954,121.73517107896848
XGBoost,full,91,400,5,0.1,0.8,1.0,1,42,1051.9769025549856,687.1460654924646,924.9382037685615,888.0203906053372,151.2119453273032
XGBoost,full,92,400,5,0.1,0.8,1.0,3,42,1099.2361484775154,786.158367028464,888.170889104321,924.5218015367668,130.3724560257227
XGBoost,full,93,400,5,0.1,1.0,0.8,1,42,1053.955093304179,875.5201668853814,960.291603842076,963.2556213438787,72.87589812520858
XGBoost,full,94,400,5,0.1,1.0,0.8,3,42,1124.0230539669856,809.4170103137637,869.8174403689236,934.4191682165578,136.31893511530978
XGBoost,full,95,400,5,0.1,1.0,1.0,1,42,1002.9821355497331,810.2940052786356,938.6125385250102,917.2962264511262,80.09564181721029
XGBoost,full,96,400,5,0.1,1.0,1.0,3,42,1083.9607698564848,760.5154782525731,883.2819186049086,909.2527222379889,133.3168560140237
