model,varset,candidate_id,seq_length,units,dropout,learning_rate,epochs,batch_size,early_stopping_monitor,early_stopping_patience,seed_base,fold1_train_sequences,fold1_val_sequences,fold1_rmse,fold1_epochs,fold2_train_sequences,fold2_val_sequences,fold2_rmse,fold2_epochs,fold3_train_sequences,fold3_val_sequences,fold3_rmse,fold3_epochs,mean_validation_rmse,std_validation_rmse,mean_trained_epochs
LSTM,parsimonious,17,6,64,0.1,0.0005,60,8,val_loss,10,42,33,39,1183.7970255791392,27,72,39,621.4552769114492,60,111,39,924.362542868596,17,909.8716151197282,229.80361298860677,34.666666666666664
LSTM,parsimonious,18,6,64,0.1,0.0005,60,16,val_loss,10,42,33,39,956.8766300666398,34,72,39,678.6324532669884,36,111,39,1088.5317570691973,15,908.0136134676085,170.87042967845898,28.333333333333332
LSTM,parsimonious,19,6,64,0.1,0.001,60,8,val_loss,10,42,33,39,813.3679202148478,31,72,39,603.2697738929653,35,111,39,888.297079829681,15,768.3115913124981,120.64464586269621,27.0
LSTM,parsimonious,20,6,64,0.1,0.001,60,16,val_loss,10,42,33,39,1486.7148956670158,29,72,39,741.0260254219183,15,111,39,900.2456735008269,20,1042.662198196587,320.6501964048112,21.333333333333332
LSTM,parsimonious,21,6,64,0.3,0.0005,60,8,val_loss,10,42,33,39,1070.6168867762779,31,72,39,663.0848829772654,30,111,39,893.0356782765476,18,875.5791493433636,166.83151447274764,26.333333333333332
LSTM,parsimonious,22,6,64,0.3,0.0005,60,16,val_loss,10,42,33,39,1124.7891635887167,60,72,39,666.3600060468576,21,111,39,917.2110799657157,26,902.7867498670967,187.43064334170853,35.666666666666664
LSTM,parsimonious,23,6,64,0.3,0.001,60,8,val_loss,10,42,33,39,1252.4052307387574,20,72,39,622.9484799152033,32,111,39,921.0321845797563,16,932.1286317445723,257.0944037302221,22.666666666666668
LSTM,parsimonious,24,6,64,0.3,0.001,60,16,val_loss,10,42,33,39,1063.6347853231218,32,72,39,618.528031889899,27,111,39,887.4448222183044,21,856.5358798104417,183.0237280218886,26.666666666666668
LSTM,parsimonious,25,12,16,0.1,0.0005,60,8,val_loss,10,42,27,39,1965.5296941050337,60,66,39,877.4033757165545,29,105,39,959.2162824147777,21,1267.383117412122,494.79276459047435,36.666666666666664
LSTM,parsimonious,26,12,16,0.1,0.0005,60,16,val_loss,10,42,27,39,2869.561731342988,60,66,39,979.0321886494339,60,105,39,1034.5986871076668,32,1627.730869033363,878.3999950198191,50.666666666666664
