model,varset,candidate_id,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,random_state,fold1_rmse,fold2_rmse,fold3_rmse,mean_validation_rmse,std_validation_rmse
XGBoost,bop,30,200,4,0.1,1.0,0.8,3,42,1128.135778753485,622.234794240197,897.5587639680316,882.6431123205712,206.8023356266072
XGBoost,bop,31,200,4,0.1,1.0,1.0,1,42,1140.3171094602967,666.9230493874588,929.2527628733615,912.1643072403723,193.6396920657916
XGBoost,bop,32,200,4,0.1,1.0,1.0,3,42,1135.9738746516562,615.8535130177867,898.8216208121677,883.5496694938702,212.61267133661644
XGBoost,bop,33,200,5,0.03,0.8,0.8,1,42,1132.6465560229708,667.7379887188066,929.1091590828712,909.8312346082163,190.28701614007636
XGBoost,bop,34,200,5,0.03,0.8,0.8,3,42,1121.0510730598223,686.4820305539394,886.3400906024051,897.9577314053889,177.6021590700037
XGBoost,bop,35,200,5,0.03,0.8,1.0,1,42,1125.253697598944,657.5470959383543,918.9173575397623,900.5727170256869,191.38052963649386
XGBoost,bop,36,200,5,0.03,0.8,1.0,3,42,1116.5778123388375,650.2284836679422,907.8875326289477,891.5646095452424,190.73586002889982
XGBoost,bop,37,200,5,0.03,1.0,0.8,1,42,1142.027029597581,654.8747690312853,949.397404576155,915.4330677350072,200.3239266396757
XGBoost,bop,38,200,5,0.03,1.0,0.8,3,42,1130.6752092168601,628.4319669148821,885.3345692391996,881.4805817903139,205.05805442027548
XGBoost,bop,39,200,5,0.03,1.0,1.0,1,42,1131.28044696641,659.2227548591135,993.940550683852,928.1479175031251,198.2525646829603
XGBoost,bop,40,200,5,0.03,1.0,1.0,3,42,1132.730805613403,624.9372367536721,919.3649318477451,892.3443247382734,208.1844727643393
XGBoost,bop,41,200,5,0.1,0.8,0.8,1,42,1120.7890802197353,726.1982624393356,921.6361875579862,922.8745100723523,161.09340655064756
XGBoost,bop,42,200,5,0.1,0.8,0.8,3,42,1119.1599147484892,689.9407239430922,866.1886551869474,891.7630979595097,176.15867379771615
XGBoost,bop,43,200,5,0.1,0.8,1.0,1,42,1100.3147651796842,672.9524188807881,958.5016295134105,910.5896045246276,177.72884846007923
XGBoost,bop,44,200,5,0.1,0.8,1.0,3,42,1107.9236748660433,619.0415681903277,890.5966633266731,872.5206354610146,199.99414265501457
XGBoost,bop,45,200,5,0.1,1.0,0.8,1,42,1126.865173298114,660.7903940339061,940.9002053140812,909.5185908820337,191.5637913939137
XGBoost,bop,46,200,5,0.1,1.0,0.8,3,42,1128.4673659800599,625.1532159865212,889.0827081431426,880.9010967032413,205.558568247989
XGBoost,bop,47,200,5,0.1,1.0,1.0,1,42,1130.2252933425793,668.3947444688782,975.9548103712582,924.8582827275719,191.97222945203558
XGBoost,bop,48,200,5,0.1,1.0,1.0,3,42,1139.0009661319234,618.8029831741834,917.4533531574692,891.7524341545254,213.1460974645047
XGBoost,bop,49,400,3,0.03,0.8,0.8,1,42,1116.60386331898,695.324475388518,922.9656763553611,911.6313383542864,172.17322882726407
XGBoost,bop,50,400,3,0.03,0.8,0.8,3,42,1117.7315703990548,690.1874980825316,902.5619082621774,903.4936589145879,174.5453800834381
XGBoost,bop,51,400,3,0.03,0.8,1.0,1,42,1113.5888606987667,676.4330941565281,915.4339399557684,901.8186316036878,178.72758324971318
XGBoost,bop,52,400,3,0.03,0.8,1.0,3,42,1116.2892549898918,633.7475554191197,882.3170438822442,877.4512847637519,197.02686731342283
XGBoost,bop,53,400,3,0.03,1.0,0.8,1,42,1128.439824880376,656.5760477709714,876.3705108883016,887.1287945132162,192.78772702449018
XGBoost,bop,54,400,3,0.03,1.0,0.8,3,42,1135.1165947336026,622.5467188078298,875.2528289293865,877.6387141569397,209.2625763052722
XGBoost,bop,55,400,3,0.03,1.0,1.0,1,42,1128.7339442187758,660.5911447316004,897.2839122066063,895.5363337189941,191.12249248557885
XGBoost,bop,56,400,3,0.03,1.0,1.0,3,42,1131.8034390665334,615.2357264787953,883.6918676953964,876.910344413575,210.94239690106306
XGBoost,bop,57,400,3,0.1,0.8,0.8,1,42,1117.879316849927,720.1568003663238,890.1249207174578,909.3870126445695,162.93980722661334
XGBoost,bop,58,400,3,0.1,0.8,0.8,3,42,1125.8518910008652,714.9056169009029,855.5473524909776,898.7682867975818,170.52907263555224
XGBoost,bop,59,400,3,0.1,0.8,1.0,1,42,1116.4019456234887,703.6736364047414,875.5562874177626,898.5439564819976,169.27785640655338
XGBoost,bop,60,400,3,0.1,0.8,1.0,3,42,1099.9957872684486,661.9290441683946,893.5538337936275,885.1595550768237,178.93847320415978
XGBoost,bop,61,400,3,0.1,1.0,0.8,1,42,1120.073609978381,656.2364105249208,889.0472948901435,888.4524384644818,189.3612108992276
XGBoost,bop,62,400,3,0.1,1.0,0.8,3,42,1118.6145020965203,630.0243407147893,880.9865439846585,876.541795598656,199.49085741944435
XGBoost,bop,63,400,3,0.1,1.0,1.0,1,42,1132.0771917619961,663.106364515207,905.0287707633388,900.0707756801806,191.48863410755897
