model,varset,candidate_id,seq_length,units,dropout,learning_rate,epochs,batch_size,early_stopping_monitor,early_stopping_patience,seed_base,fold1_train_sequences,fold1_val_sequences,fold1_rmse,fold1_epochs,fold2_train_sequences,fold2_val_sequences,fold2_rmse,fold2_epochs,fold3_train_sequences,fold3_val_sequences,fold3_rmse,fold3_epochs,mean_validation_rmse,std_validation_rmse,mean_trained_epochs
LSTM,full,36,12,32,0.1,0.001,60,16,val_loss,10,42,12,24,925.6179392004459,26,36,24,859.698987966309,11,60,24,902.1249698148619,17,895.8139656605389,27.27879045496752,18.0
LSTM,full,37,12,32,0.3,0.0005,60,8,val_loss,10,42,12,24,983.0707097048735,25,36,24,817.9784653596575,11,60,24,901.4098184939215,14,900.8196645194843,67.39991838284018,16.666666666666668
LSTM,full,38,12,32,0.3,0.0005,60,16,val_loss,10,42,12,24,944.9299391410931,50,36,24,823.4607619132732,11,60,24,973.3346582431016,19,913.9084530991558,64.99895202980125,26.666666666666668
LSTM,full,39,12,32,0.3,0.001,60,8,val_loss,10,42,12,24,943.3743852362575,22,36,24,790.9342707513241,11,60,24,992.8155157166686,12,909.0413905680834,85.91885768697895,15.0
LSTM,full,40,12,32,0.3,0.001,60,16,val_loss,10,42,12,24,1016.4449626683393,25,36,24,858.6486053201203,11,60,24,971.7843842385672,18,948.959317409009,66.41114542465523,18.0
LSTM,full,41,12,64,0.1,0.0005,60,8,val_loss,10,42,12,24,971.5139137750888,27,36,24,863.7051569109775,33,60,24,953.5489039887652,13,929.5893248916105,47.16091663677227,24.333333333333332
LSTM,full,42,12,64,0.1,0.0005,60,16,val_loss,10,42,12,24,980.9421353965533,26,36,24,1022.5510572576885,11,60,24,1128.7844676414013,17,1044.092553431881,62.24877960766817,18.0
LSTM,full,43,12,64,0.1,0.001,60,8,val_loss,10,42,12,24,935.3914380650526,17,36,24,781.2466927293614,21,60,24,1039.8573284355475,21,918.8318197433205,106.22470191159404,19.666666666666668
LSTM,full,44,12,64,0.1,0.001,60,16,val_loss,10,42,12,24,926.1134495756428,22,36,24,1016.5083763145493,11,60,24,928.9683227075445,13,957.1967161992455,41.95586843636855,15.333333333333334
LSTM,full,45,12,64,0.3,0.0005,60,8,val_loss,10,42,12,24,1011.1444325280606,24,36,24,822.2749046720775,26,60,24,933.0216452453232,12,922.1469941484871,77.48814174007073,20.666666666666668
LSTM,full,46,12,64,0.3,0.0005,60,16,val_loss,10,42,12,24,965.7929310900892,37,36,24,805.6444527568343,11,60,24,920.1837656016397,18,897.2070498161878,67.36879039697996,22.0
LSTM,full,47,12,64,0.3,0.001,60,8,val_loss,10,42,12,24,926.2800367742316,19,36,24,794.8241693784199,27,60,24,874.4169737947481,11,865.1737266491332,54.063169727905596,19.0
LSTM,full,48,12,64,0.3,0.001,60,16,val_loss,10,42,12,24,906.0978155408773,33,36,24,1025.09363220108,11,60,24,970.2428389335206,12,967.1447622251593,48.62920696539831,18.666666666666668
