model,varset,candidate_id,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,random_state,fold1_rmse,fold2_rmse,fold3_rmse,mean_validation_rmse,std_validation_rmse
XGBoost,pca,75,400,4,0.1,0.8,1.0,1,42,1114.3520270374552,951.037872175309,868.5320870894386,977.9739954340675,102.14704032641669
XGBoost,pca,76,400,4,0.1,0.8,1.0,3,42,1123.7710348573034,946.095916837833,902.2534385731391,990.7067967560919,95.77790044747445
XGBoost,pca,77,400,4,0.1,1.0,0.8,1,42,1122.3068913007116,953.8158624721957,925.4769515062884,1000.5332350930653,86.88072658657556
XGBoost,pca,78,400,4,0.1,1.0,0.8,3,42,1142.5492258504096,989.4040095625642,916.538334707782,1016.1638567069185,94.18880964376136
XGBoost,pca,79,400,4,0.1,1.0,1.0,1,42,1060.01157472935,955.2203442377291,930.7552000783261,981.9957063484685,56.06242121720145
XGBoost,pca,80,400,4,0.1,1.0,1.0,3,42,1068.595566747851,960.0316991117278,958.4178969492068,995.681720936262,51.56208408402497
XGBoost,pca,81,400,5,0.03,0.8,0.8,1,42,1121.5941084967333,947.4219696201063,866.2018588282674,978.4059789817023,106.54046781941469
XGBoost,pca,82,400,5,0.03,0.8,0.8,3,42,1239.34092680442,930.0999258124216,868.6351943473529,1012.6920156547316,162.21749802353378
XGBoost,pca,83,400,5,0.03,0.8,1.0,1,42,1118.2049784278904,959.4854075736953,899.89660917959,992.5289983937251,92.1359328806239
XGBoost,pca,84,400,5,0.03,0.8,1.0,3,42,1119.1078672759731,981.1721407997168,881.2915674439349,993.8571918398749,97.50155898366972
XGBoost,pca,85,400,5,0.03,1.0,0.8,1,42,1130.8617271723963,1014.631642377063,899.2791288706374,1014.9241661400323,94.54342613022648
XGBoost,pca,86,400,5,0.03,1.0,0.8,3,42,1143.1229638238756,1037.1638201903706,892.3822025879194,1024.2229955340551,102.77266511865179
XGBoost,pca,87,400,5,0.03,1.0,1.0,1,42,1084.171863696776,1039.6043849583896,941.1288375554033,1021.6350287368563,59.763423341163154
XGBoost,pca,88,400,5,0.03,1.0,1.0,3,42,1073.652758760938,985.2635260407616,896.8288162677283,985.2483670231426,72.18807303175666
XGBoost,pca,89,400,5,0.1,0.8,0.8,1,42,1149.6238736989362,920.8521631406348,780.4846380149233,950.3202249514981,152.13419258560504
XGBoost,pca,90,400,5,0.1,0.8,0.8,3,42,1368.8630023520275,994.2498257176325,875.8027859379254,1079.6385380025283,210.15156180216675
XGBoost,pca,91,400,5,0.1,0.8,1.0,1,42,1115.039069473056,945.8923631720444,867.4631192992816,976.131517314794,103.30946264682484
XGBoost,pca,92,400,5,0.1,0.8,1.0,3,42,1118.0160003263286,978.6957935754699,913.4834788855676,1003.3984242624553,85.30749499652043
XGBoost,pca,93,400,5,0.1,1.0,0.8,1,42,1116.0165245153378,972.5071214623784,934.420081736841,1007.6479092381857,78.18982555967756
XGBoost,pca,94,400,5,0.1,1.0,0.8,3,42,1140.1433410163431,1030.7727460301198,907.8725601995019,1026.2628824153217,94.87775664044176
XGBoost,pca,95,400,5,0.1,1.0,1.0,1,42,1059.0134911196703,999.3117335228214,944.6110532706892,1000.9787593043937,46.7194725831019
XGBoost,pca,96,400,5,0.1,1.0,1.0,3,42,1064.5819900699782,1020.7117524514952,904.7729958032612,996.6889127749115,67.41686871859312
