model,varset,candidate_id,seq_length,units,dropout,learning_rate,epochs,batch_size,early_stopping_monitor,early_stopping_patience,seed_base,fold1_train_sequences,fold1_val_sequences,fold1_rmse,fold1_epochs,fold2_train_sequences,fold2_val_sequences,fold2_rmse,fold2_epochs,fold3_train_sequences,fold3_val_sequences,fold3_rmse,fold3_epochs,mean_validation_rmse,std_validation_rmse,mean_trained_epochs
LSTM,pca,12,6,32,0.1,0.001,60,16,val_loss,10,42,20,23,890.0746163283453,21,43,23,870.2537498796255,11,66,23,963.1571366159347,13,907.8285009413017,39.951304783921564,15.0
LSTM,pca,13,6,32,0.3,0.0005,60,8,val_loss,10,42,20,23,822.4176395530544,36,43,23,846.3215801549034,11,66,23,1118.4226462171819,23,929.05395530838,134.2590168702751,23.333333333333332
LSTM,pca,14,6,32,0.3,0.0005,60,16,val_loss,10,42,20,23,970.2359929677275,29,43,23,890.08635255164,12,66,23,954.0331876273123,20,938.1185110488932,34.60201258745695,20.333333333333332
LSTM,pca,15,6,32,0.3,0.001,60,8,val_loss,10,42,20,23,804.6827321769255,54,43,23,837.2929903125727,11,66,23,1008.7490559950387,13,883.5749261615123,89.50709215328054,26.0
LSTM,pca,16,6,32,0.3,0.001,60,16,val_loss,10,42,20,23,847.8640066976101,18,43,23,837.1961356941405,11,66,23,1007.1622995083559,18,897.4074806333688,77.7304790827364,15.666666666666666
LSTM,pca,17,6,64,0.1,0.0005,60,8,val_loss,10,42,20,23,854.4702894791214,37,43,23,860.339969710356,11,66,23,957.89310260535,14,890.9011205982757,47.431055413314404,20.666666666666668
LSTM,pca,18,6,64,0.1,0.0005,60,16,val_loss,10,42,20,23,849.3640722772092,29,43,23,1019.2173191955266,11,66,23,1046.167263610485,19,971.5828850277403,87.11928037124108,19.666666666666668
LSTM,pca,19,6,64,0.1,0.001,60,8,val_loss,10,42,20,23,872.0724480807472,21,43,23,701.3312595623826,60,66,23,958.6483801472039,12,844.0173625967778,106.90600545229903,31.0
LSTM,pca,20,6,64,0.1,0.001,60,16,val_loss,10,42,20,23,851.768373807646,37,43,23,849.8600186162107,12,66,23,962.6866843772774,14,888.1050256003781,52.74295102551341,21.0
LSTM,pca,21,6,64,0.3,0.0005,60,8,val_loss,10,42,20,23,864.8669524122355,32,43,23,794.8966980257683,32,66,23,940.1549023294368,13,866.639517589147,59.314657940295426,25.666666666666668
LSTM,pca,22,6,64,0.3,0.0005,60,16,val_loss,10,42,20,23,872.1897430927063,53,43,23,875.2868639596539,11,66,23,963.2920789571725,19,903.5895620031775,42.234985003727736,27.666666666666668
LSTM,pca,23,6,64,0.3,0.001,60,8,val_loss,10,42,20,23,873.9837521940598,27,43,23,806.852823735074,24,66,23,1000.6868988768781,13,893.8411582686707,80.36852453346245,21.333333333333332
LSTM,pca,24,6,64,0.3,0.001,60,16,val_loss,10,42,20,23,884.4118306408777,35,43,23,745.0376216366402,26,66,23,931.2502332046025,15,853.5665618273734,79.08795581660209,25.333333333333332
