model,varset,candidate_id,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,random_state,fold1_rmse,fold2_rmse,fold3_rmse,mean_validation_rmse,std_validation_rmse
XGBoost,parsimonious,14,200,3,0.1,1.0,0.8,3,42,209.3951192968532,936.7430046993466,993.5407722263454,713.2262987408484,357.01623645053667
XGBoost,parsimonious,15,200,3,0.1,1.0,1.0,1,42,133.58081755683892,959.1023513971213,1025.12111528646,705.9347614134734,405.6117988771626
XGBoost,parsimonious,16,200,3,0.1,1.0,1.0,3,42,210.66495745429776,935.2051625911121,1050.5019239980206,732.1240146811434,371.71942561620625
XGBoost,parsimonious,17,200,4,0.03,0.8,0.8,1,42,167.7138479737366,978.7091316805938,941.1671457230835,695.8633751258047,373.7724730818855
XGBoost,parsimonious,18,200,4,0.03,0.8,0.8,3,42,214.1063693329443,927.1206323986926,912.6963989863791,684.641133572672,332.77042927117725
XGBoost,parsimonious,19,200,4,0.03,0.8,1.0,1,42,163.5676311576381,988.862713147294,919.8238578845134,690.7514007298151,373.83921326264186
XGBoost,parsimonious,20,200,4,0.03,0.8,1.0,3,42,216.25122533877084,922.4365967056826,916.1271413588856,684.9383211344463,331.42183355026754
XGBoost,parsimonious,21,200,4,0.03,1.0,0.8,1,42,157.46881629299253,1002.9877780415796,1004.9510156638772,721.8025366661499,399.0450054301704
XGBoost,parsimonious,22,200,4,0.03,1.0,0.8,3,42,204.53858892282827,929.1143960340884,1005.6726048501511,713.1085299356893,360.9689077198105
XGBoost,parsimonious,23,200,4,0.03,1.0,1.0,1,42,150.74289912511404,1014.8104729954341,1037.9874231962015,734.5135984389166,412.89664952878684
XGBoost,parsimonious,24,200,4,0.03,1.0,1.0,3,42,204.88186505172303,923.3996694308152,1086.7922456407355,738.3579267077579,383.07685456937907
XGBoost,parsimonious,25,200,4,0.1,0.8,0.8,1,42,146.39297950623188,924.1555052459008,991.7918054796512,687.4467634105946,383.5779495619712
XGBoost,parsimonious,26,200,4,0.1,0.8,0.8,3,42,225.37923469427272,912.4433462409773,947.61699652015,695.1465258184667,332.48586664309283
XGBoost,parsimonious,27,200,4,0.1,0.8,1.0,1,42,140.37382345660757,939.8035798154712,969.4177114975702,683.1983715898829,384.02527411694507
XGBoost,parsimonious,28,200,4,0.1,0.8,1.0,3,42,228.26232325283559,907.3593641441443,926.1914035671774,687.2710303213858,324.65921240665494
XGBoost,parsimonious,29,200,4,0.1,1.0,0.8,1,42,141.62642613090122,974.8743309432722,1030.1140058982146,715.5382543241294,406.44306311163433
XGBoost,parsimonious,30,200,4,0.1,1.0,0.8,3,42,216.25657243409788,922.6298296316003,979.9357841352182,706.2740620669721,347.2835999726743
XGBoost,parsimonious,31,200,4,0.1,1.0,1.0,1,42,137.44713915276412,1003.6832392149172,1032.6396954124168,724.5900245933659,415.3409804257351
XGBoost,parsimonious,32,200,4,0.1,1.0,1.0,3,42,218.07717801186402,903.150380260449,1133.8822627591394,751.7032736771507,388.9103648928038
XGBoost,parsimonious,33,200,5,0.03,0.8,0.8,1,42,167.30562675639985,979.3955297240253,956.178637942051,700.9599314741587,377.4695958827677
XGBoost,parsimonious,34,200,5,0.03,0.8,0.8,3,42,213.91725032772308,924.4080301869752,919.0483650342571,685.7912151829851,333.6724546955254
XGBoost,parsimonious,35,200,5,0.03,0.8,1.0,1,42,161.7424841940194,985.2882707641669,935.8489263864169,694.2932271148678,377.11075520089673
XGBoost,parsimonious,36,200,5,0.03,0.8,1.0,3,42,214.51592095682983,926.1223681113426,927.6951327738815,689.4444739473512,335.8258142067341
XGBoost,parsimonious,37,200,5,0.03,1.0,0.8,1,42,157.47305980674273,1001.1135567106535,972.1252645422891,710.2372936865618,391.0424563166742
XGBoost,parsimonious,38,200,5,0.03,1.0,0.8,3,42,204.44518867612427,925.595694147581,996.4485437874589,708.8298088703881,357.824831811979
XGBoost,parsimonious,39,200,5,0.03,1.0,1.0,1,42,150.74855659715905,1019.8361931690312,989.2267163866726,719.9371553842876,402.67106572583
XGBoost,parsimonious,40,200,5,0.03,1.0,1.0,3,42,204.79724573923104,923.5430288265478,1084.5245761926071,737.6216169194619,382.4527182461462
XGBoost,parsimonious,41,200,5,0.1,0.8,0.8,1,42,144.9236535435569,913.8370155534346,991.1955147410371,683.3187279460095,382.0104941444728
XGBoost,parsimonious,42,200,5,0.1,0.8,0.8,3,42,222.5978217797921,914.2884374046189,924.6093637500524,687.1652076448212,328.52577005693894
XGBoost,parsimonious,43,200,5,0.1,0.8,1.0,1,42,141.95253570840123,947.3561081932422,973.7187680200084,687.675803973884,386.03468030999096
XGBoost,parsimonious,44,200,5,0.1,0.8,1.0,3,42,228.03581854251763,912.4668534552385,960.6950692667447,700.399247088167,334.5911900320956
XGBoost,parsimonious,45,200,5,0.1,1.0,0.8,1,42,141.6123206201883,962.2953403682948,979.1008519045522,694.336170964345,390.8949964367679
XGBoost,parsimonious,46,200,5,0.1,1.0,0.8,3,42,213.94288205176244,933.7976940009555,982.3378900419576,710.0261553648919,351.3431354139203
XGBoost,parsimonious,47,200,5,0.1,1.0,1.0,1,42,137.85629520904772,1011.7646190860049,963.0106970306565,704.2105371085696,400.9672320087444
XGBoost,parsimonious,48,200,5,0.1,1.0,1.0,3,42,213.2641359991526,910.7632148735219,1076.3026940194059,733.4433482973601,373.9791789831446
XGBoost,parsimonious,49,400,3,0.03,0.8,0.8,1,42,144.38264711608068,931.9236185724122,920.4237047641597,665.5766568175509,368.56972096282453
XGBoost,parsimonious,50,400,3,0.03,0.8,0.8,3,42,212.70599919008814,914.7454590457248,896.9985298411262,674.816662692313,326.8418958924923
XGBoost,parsimonious,51,400,3,0.03,0.8,1.0,1,42,134.27784071656518,936.7906924157006,916.597726187883,662.555419773383,373.63961190061985
XGBoost,parsimonious,52,400,3,0.03,0.8,1.0,3,42,213.19886175151765,904.1532004696704,919.5890335483492,678.9803652565124,329.41753949583835
