date,usd_lkr_pct_change,threshold,regime,regime_name
2008-01-01,-1.3830160091506616,-0.17617982395992104,0,Stable
2008-02-01,-0.6752624183816947,-0.17617982395992104,0,Stable
2008-03-01,-0.3039137095872002,-0.17617982395992104,0,Stable
2008-04-01,-0.13280532705165493,-0.17617982395992104,1,Crisis
2008-05-01,0.08849984863088523,-0.17617982395992104,1,Crisis
2008-06-01,-0.007979283553116723,-0.17617982395992104,1,Crisis
2008-07-01,-0.006680863501606904,-0.17617982395992104,1,Crisis
2008-08-01,-0.14355536625177967,-0.17617982395992104,1,Crisis
2008-09-01,0.10175766620883486,-0.17617982395992104,1,Crisis
2008-10-01,0.09766232415906462,-0.17617982395992104,1,Crisis
2008-11-01,0.31792757224087254,-0.17617982395992104,1,Crisis
2008-12-01,1.6579131539363967,-0.17617982395992104,1,Crisis
2009-01-01,1.3523173098434427,-0.17617982395992104,1,Crisis
2009-02-01,2.083602521032546,-0.17617982395992104,1,Crisis
2009-03-01,0.29366652456523923,-0.17617982395992104,1,Crisis
2009-04-01,0.1586291635773618,-0.17617982395992104,1,Crisis
2009-05-01,2.645348938955361,-0.17617982395992104,1,Crisis
2009-06-01,-0.5411450998578093,-0.17617982395992104,0,Stable
2009-07-01,-1.5954984914975268,-0.17617982395992104,0,Stable
2009-08-01,-0.008971304889360265,-0.17617982395992104,1,Crisis
2009-09-01,-0.07439011430294684,-0.17617982395992104,1,Crisis
2009-10-01,0.0452426365211922,-0.17617982395992104,1,Crisis
2009-11-01,0.014899792361378061,-0.17617982395992104,1,Crisis
2009-12-01,-0.2600541191352779,-0.17617982395992104,0,Stable
2010-01-01,-0.17617982395992104,-0.17617982395992104,0,Stable
2010-02-01,0.06588871894130932,-0.17617982395992104,1,Crisis
2010-03-01,0.1302915645393643,-0.17617982395992104,1,Crisis
2010-04-01,-0.3528140853163886,-0.17617982395992104,0,Stable
2010-05-01,-0.24127133253114552,-0.17617982395992104,0,Stable
2010-06-01,-0.11078059468357937,-0.17617982395992104,1,Crisis
2010-07-01,-0.12488731558232269,-0.17617982395992104,1,Crisis
2010-08-01,-0.5313467270749994,-0.17617982395992104,0,Stable
2010-09-01,-0.4960290234079956,-0.17617982395992104,0,Stable
2010-10-01,-0.08354330372395413,-0.17617982395992104,1,Crisis
2010-11-01,-0.5662364907762729,-0.17617982395992104,0,Stable
2010-12-01,-0.13567123680228166,-0.17617982395992104,1,Crisis
2011-01-01,-0.4550040128950772,-0.17617982395992104,0,Stable
2011-02-01,-0.16944709440122052,-0.17617982395992104,1,Crisis
2011-03-01,-0.0113697888467712,-0.17617982395992104,1,Crisis
2011-04-01,-0.45592622875367805,-0.17617982395992104,0,Stable
2011-05-01,-0.0809594006284553,-0.17617982395992104,1,Crisis
2011-06-01,-0.40830066171927415,-0.17617982395992104,0,Stable
2011-07-01,-0.2038940297677927,-0.17617982395992104,0,Stable
2011-08-01,-0.07495040583682666,-0.17617982395992104,1,Crisis
2011-09-01,0.23470403902903225,-0.17617982395992104,1,Crisis
2011-10-01,0.30898546127700044,-0.17617982395992104,1,Crisis
2011-11-01,0.03143942594880933,-0.17617982395992104,1,Crisis
2011-12-01,1.0291813330305377,-0.17617982395992104,1,Crisis
2012-01-01,2.3252907512554044,-0.17617982395992104,1,Crisis
2012-02-01,0.011247140985548576,-0.17617982395992104,1,Crisis
2012-03-01,3.0412187718273254,-0.17617982395992104,1,Crisis
2012-04-01,7.144806064068332,-0.17617982395992104,1,Crisis
2012-05-01,2.199816171350588,-0.17617982395992104,1,Crisis
2012-06-01,0.45139256592185983,-0.17617982395992104,1,Crisis
2012-07-01,2.2072098260138118,-0.17617982395992104,1,Crisis
2012-08-01,0.4800082516823956,-0.17617982395992104,1,Crisis
2012-09-01,-0.37377872782388133,-0.17617982395992104,0,Stable
2012-10-01,-0.36298314412649413,-0.17617982395992104,0,Stable
2012-11-01,-1.8436550693670783,-0.17617982395992104,0,Stable
2012-12-01,0.8894077509627341,-0.17617982395992104,1,Crisis
2013-01-01,-1.6877313144033068,-0.17617982395992104,0,Stable
