date,horizon,ARIMA,BVAR,BoPIdentity,LSTM,LocalLevelSV,MS-VAR,MS-VECM,Naive,VECM,XGB-Quantile,XGBoost,varset,split_label,train_end,valid_end
2023-02-01,6,1.3163417903817252e-12,1.8285637964969677e-10,1.8654739268332255e-07,1.3163417903817252e-12,1.116547728601495e-10,0.02288346805613125,0.9706991839413563,6.492039282203724e-10,4.042197271811947e-11,0.006417160428809205,3.954079320231583e-11,parsimonious,baseline,2019-12-01,2022-12-01
2023-03-01,6,1.3165831997833333e-12,2.2658354031575437e-10,1.094182010619895e-07,1.3165831997833333e-12,1.4296531523503783e-10,0.017698578450373145,0.9755639544215919,8.323985202868212e-10,5.03119173980728e-11,0.00673735641615848,3.87829719581036e-11,parsimonious,baseline,2019-12-01,2022-12-01
2023-04-01,6,1.3166232115147188e-12,2.911888249686205e-10,6.585854973284215e-08,1.3166232115147188e-12,1.961295090947024e-10,0.012946635186339697,0.9767920922027613,1.104274833848949e-09,7.324793169098365e-11,0.010261205042315655,4.2559302850483115e-11,parsimonious,baseline,2019-12-01,2022-12-01
2023-05-01,6,1.3165489446082404e-12,3.5012635889863174e-10,3.744434010467693e-08,1.3165489446082404e-12,2.5503229439642377e-10,0.008393701217691982,0.9752396822708496,1.3925919344252601e-09,1.024383242133109e-10,0.016366576918692092,4.560430082353445e-11,parsimonious,baseline,2019-12-01,2022-12-01
2023-06-01,6,1.3156180543635604e-12,6.065536915069899e-10,1.5972244734562322e-09,1.3156180543635604e-12,4.90886173119277e-10,0.006596902003171512,0.9547611705750528,2.4637835301614245e-09,2.2941129245709759e-10,0.03864192194261879,8.866664754456698e-11,parsimonious,baseline,2019-12-01,2022-12-01
2023-07-01,6,1.3137581973833173e-12,1.2275918805232554e-09,1.8475471458000548e-10,1.3137581973833173e-12,1.1189892527460798e-09,0.006903658237349449,0.902382346244098,5.106681101880815e-09,6.12952026882958e-10,0.09071398706975006,1.9520598066971448e-10,parsimonious,baseline,2019-12-01,2022-12-01
2023-08-01,6,2.613845891261655e-12,2.632173041061976e-09,3.730593061243293e-12,2.30293140120618e-12,2.5006647255358883e-09,0.010936417229267113,0.944505430885576,1.1708287227034982e-08,1.228481494935093e-09,0.044558133417449616,3.894532183920389e-10,parsimonious,baseline,2019-12-01,2022-12-01
2023-09-01,6,2.4988868374620093e-12,2.940747407516922e-09,4.031778202422262e-12,1.964994830292576e-12,2.9974559923875917e-09,0.012083859384296049,0.9464521814042149,1.440658115949679e-08,1.389232053714035e-09,0.04146393705729711,4.116796098539769e-10,parsimonious,baseline,2019-12-01,2022-12-01
2023-10-01,6,1.854255112651919e-12,2.5140323280621455e-09,1.3159100342108357e-12,1.3159100342108357e-12,2.7542106176199024e-09,0.015942214688354495,0.9636931625358316,1.3602085268359854e-08,1.222796988347981e-09,0.02036460235932246,3.1888022217807557e-10,parsimonious,baseline,2019-12-01,2022-12-01
2023-11-01,6,1.3825212660665703e-12,2.1089895592549984e-09,1.3163802252499271e-12,1.3163802252499271e-12,2.451159446327117e-09,0.016674241131355728,0.9723941633348767,1.2433715956599285e-08,1.0453065929192148e-09,0.010931577250547735,2.4003304233424826e-10,parsimonious,baseline,2019-12-01,2022-12-01
2023-12-01,6,1.3168900867033557e-12,1.0931774357987148e-09,1.3168900867033557e-12,1.3168900867033557e-12,1.3162254178584823e-09,0.015270874585845225,0.9806220827039912,6.859704831113579e-09,5.396043825701674e-10,0.004107032788134142,1.0936668717730719e-10,parsimonious,baseline,2019-12-01,2022-12-01
2024-01-01,6,1.3172185734885188e-12,4.814824041693253e-10,1.3172185734885188e-12,1.3172185734885188e-12,6.055076641180989e-10,0.013957940341185566,0.9852066523065355,3.1211894784206457e-09,2.355274766817806e-10,0.0008354028526695948,5.1950686914651545e-11,parsimonious,baseline,2019-12-01,2022-12-01
2024-02-01,6,1.3173673484504566e-12,2.448460864359092e-10,1.3173673484504566e-12,1.3173673484504566e-12,3.113628660582444e-10,0.012340847326062476,0.9874194022963881,1.5836599907313028e-09,1.16146637211952e-10,0.00023974808909625088,2.8485352872616392e-11,parsimonious,baseline,2019-12-01,2022-12-01
2024-03-01,6,1.317255709827473e-12,1.1106965460522324e-10,1.317255709827473e-12,1.317255709827473e-12,1.4753175451785384e-10,0.014691244022985574,0.9852446976963315,7.400297128905871e-10,5.321270371468429e-11,6.40572104814249e-05,1.4405979618048285e-11,parsimonious,baseline,2019-12-01,2022-12-01
2024-04-01,6,2.3890250055367693e-12,1.2127977961749726e-10,1.316629126919957e-12,1.876011594981303e-12,1.699125730665942e-10,0.027179726594792092,0.9727791170537726,8.150927665699047e-10,6.047371006841206e-11,4.1155159848939005e-05,1.9245863869125524e-11,parsimonious,baseline,2019-12-01,2022-12-01
2024-05-01,6,3.172651556092195e-11,6.904126842808584e-10,1.3129658035449726e-12,1.6550566177156733e-11,1.0803954890184415e-09,0.1387515215082935,0.8610887472743324,4.716609813334931e-09,3.974416934391526e-10,0.00015972410989071003,1.7303355502647375e-10,parsimonious,baseline,2019-12-01,2022-12-01
2024-06-01,6,7.921901444031415e-11,7.659013097675553e-10,1.310477790396655e-12,2.5715547763004016e-11,1.3844137580501016e-09,0.2783790490009913,0.7214743217649651,5.497186824223184e-09,5.414447607422478e-10,0.000146620662054682,2.767973501813791e-10,parsimonious,baseline,2019-12-01,2022-12-01
2024-07-01,6,5.842386304278235e-11,2.05996042866852e-10,1.3091988595399213e-12,8.157431019338752e-12,4.5860530662485714e-10,0.4545170217558237,0.5454301462659165,1.5807496947529411e-09,2.0856405499731078e-10,5.2829311629133135e-05,1.4482530161201447e-10,parsimonious,baseline,2019-12-01,2022-12-01
2024-08-01,6,9.659137391588349e-11,3.161961407946723e-10,1.3092857699584234e-12,4.594041017640916e-12,6.730725110107662e-10,0.5727448470542384,0.42721174461828815,2.423536998837148e-09,3.291367991510798e-10,4.340440146182762e-05,8.157448433743924e-11,parsimonious,baseline,2019-12-01,2022-12-01
2024-09-01,6,1.914155257935245e-10,5.703640795069416e-10,1.3103086495697101e-12,1.3103086495697101e-12,1.0756197853675575e-09,0.7065390854048533,0.29342592522880373,3.997619169756379e-09,6.076726388487406e-10,3.498287195415592e-05,4.907701138667796e-11,parsimonious,baseline,2019-12-01,2022-12-01
