forecast_origin,forecast_date,horizon,split,actual,forecast_point,forecast_mean,forecast_lower_10,forecast_upper_90,error,abs_error,sq_error,in_interval
2021-04-01,2021-07-01,3,validation,2805.884166609781,4533.880205598646,4543.119797398787,3466.326077837897,5617.219007593719,-1727.9960389888652,1727.9960389888652,2985970.3107612077,False
2021-04-01,2021-10-01,6,validation,2269.211946488995,4775.9110844812,4781.061803535526,3399.6583938964195,6215.485849602603,-2506.699137992205,2506.699137992205,6283540.568410864,False
2021-04-01,2022-04-01,12,validation,1812.0,5021.930641200091,5010.492048373149,3055.9576463804865,6920.398102257527,-3209.9306412000906,3209.9306412000906,10303654.721315224,False
2021-05-01,2021-06-01,1,validation,4060.0459080962846,4523.651539167327,4536.375168874483,3838.770353920358,5220.341448806082,-463.6056310710428,463.6056310710428,214930.18116077984,True
2021-05-01,2021-08-01,3,validation,3543.508985941734,4720.209620069799,4729.387526873653,3658.411143205916,5792.219568231909,-1176.7006341280648,1176.7006341280648,1384624.38235739,False
2021-05-01,2021-11-01,6,validation,1588.37233054694,4902.254539626796,4907.2428550991945,3538.520540837394,6331.044066201301,-3313.882209079856,3313.882209079856,10981815.295655984,False
2021-05-01,2022-05-01,12,validation,1887.0,5072.919203963513,5062.649216066238,3116.752845268757,6955.884955366316,-3185.9192039635127,3185.9192039635127,10150081.174183503,False
2021-06-01,2021-07-01,1,validation,2805.884166609781,4235.547130375777,4248.261390788933,3545.6346183694773,4930.886039912099,-1429.6629637659958,1429.6629637659958,2043936.1899641708,False
2021-06-01,2021-09-01,3,validation,2704.1872990039246,4377.780347402126,4386.75329952925,3314.2487400532045,5451.0791192231445,-1673.593048398201,1673.593048398201,2800913.691646783,False
2021-06-01,2021-12-01,6,validation,3139.2264604363068,4526.848059110439,4531.3451252447585,3157.130436320298,5949.341633403246,-1387.6215986741322,1387.6215986741322,1925493.7011069544,False
2021-06-01,2022-06-01,12,validation,1854.0,4661.915557991135,4650.6336897342135,2704.3615578736844,6570.809073922996,-2807.915557991135,2807.915557991135,7884389.780808666,False
2021-07-01,2021-08-01,1,validation,3543.508985941734,4189.353710382311,4202.015206755651,3508.69396843503,4882.158317215437,-645.844724440577,645.844724440577,417115.4080877249,True
2021-07-01,2021-10-01,3,validation,2269.211946488995,4363.703574473688,4372.296393733544,3302.174543826863,5422.586066756832,-2094.4916279846925,2094.4916279846925,4386895.179697967,False
2021-07-01,2022-01-01,6,validation,2361.645210710561,4542.533645020358,4546.429662968348,3170.4785051628123,5966.235650607179,-2180.8884343097966,2180.8884343097966,4756274.362906236,False
2021-07-01,2022-07-01,12,validation,1817.0,4716.606316761803,4705.344948186805,2769.969791763081,6624.953577059766,-2899.606316761803,2899.606316761803,8407716.79220495,False
2021-08-01,2021-09-01,1,validation,2704.1872990039246,3111.600122126921,3124.567352433557,2409.665784352282,3820.988843729811,-407.41282312299654,407.41282312299654,165985.20844505006,True
2021-08-01,2021-11-01,3,validation,1588.37233054694,3219.5632998353153,3228.038520412622,2136.6690227752883,4307.128635477735,-1631.1909692883753,1631.1909692883753,2660783.978287949,False
2021-08-01,2022-02-01,6,validation,2311.250466948733,3355.405598516188,3359.5598664821428,1921.362970109174,4839.611482140649,-1044.155131567455,1044.155131567455,1090259.9387786495,True
2021-08-01,2022-08-01,12,validation,1717.0,3526.5888587165678,3511.6884121224216,1470.304575138604,5564.798440701872,-1809.5888587165678,1809.5888587165678,3274611.8375911303,True
2021-09-01,2021-10-01,1,validation,2269.211946488995,3538.7591768379343,3551.693638829907,2846.2282608733713,4245.935254923762,-1269.5472303489391,1269.5472303489391,1611750.1700866623,False
2021-09-01,2021-12-01,3,validation,3139.2264604363068,3731.447698799704,3739.57620879631,2666.279110359769,4805.890700839191,-592.2212383633973,592.2212383633973,350725.9951686759,True
2021-09-01,2022-03-01,6,validation,1917.0,3930.4934880731776,3934.518407749432,2521.559615942455,5380.729684643443,-2013.4934880731776,2013.4934880731776,4054156.0265130913,False
2021-09-01,2022-09-01,12,validation,1779.0,4169.615002640383,4155.4835270773265,2160.1251095695366,6133.7911640973825,-2390.615002640383,2390.615002640383,5715040.0908492785,False
2021-10-01,2021-11-01,1,validation,1588.37233054694,2940.7079198969964,2953.674666373094,2237.138403628746,3649.9616920113954,-1352.3355893500564,1352.3355893500564,1828811.5462227643,False
2021-10-01,2022-01-01,3,validation,2361.645210710561,3008.1248054182497,3016.74452651862,1926.7997779006264,4094.645222186295,-646.4795947076886,646.4795947076886,417935.8663734174,True
2021-10-01,2022-04-01,6,validation,1812.0,3113.3314100728053,3117.816997592607,1686.503592462181,4594.387483797931,-1301.3314100728053,1301.3314100728053,1693463.4388420756,True
2021-10-01,2022-10-01,12,validation,1705.0,3252.669849239594,3236.66379774281,1187.2688683935291,5297.377859375104,-1547.669849239594,1547.669849239594,2395281.9622453074,True
2021-11-01,2021-12-01,1,validation,3139.2264604363068,2380.0450407776593,2393.061082536693,1679.713683368132,3092.245460791819,759.1814196586474,759.1814196586474,576356.4279549193,False
2021-11-01,2022-02-01,3,validation,2311.250466948733,2440.134495986209,2449.011757003778,1355.1421678876407,3534.151670767492,-128.884029037476,128.884029037476,16611.09294093296,True
2021-11-01,2022-05-01,6,validation,1887.0,2519.0419225045553,2523.706271147083,1062.9103412241625,4036.2495807336663,-632.0419225045553,632.0419225045553,399476.99180325423,True
