forecast_origin,forecast_date,horizon,split,actual,forecast_point,forecast_mean,forecast_lower_10,forecast_upper_90,error,abs_error,sq_error,in_interval
2020-07-01,2020-10-01,3,validation,5855.74394110227,6901.460229061486,6890.101030620557,5914.375943481834,7866.324149487031,-1045.716287959216,1045.716287959216,1093522.554903202,False
2020-07-01,2021-01-01,6,validation,4841.863004371764,7039.102262076504,7039.640202913541,5782.215513340334,8355.316328866156,-2197.2392577047403,2197.2392577047403,4827860.355598878,False
2020-07-01,2021-07-01,12,validation,2805.884166609781,7310.661331254241,7312.35045912694,5538.510215955605,9153.918363536908,-4504.77716464446,4504.77716464446,20293017.30310218,False
2020-08-01,2020-09-01,1,validation,6666.320938200717,7165.478511405396,7157.070516347207,6572.841698775086,7747.234809233955,-499.15757320467856,499.15757320467856,249158.28288758404,True
2020-08-01,2020-11-01,3,validation,5555.275602812615,7293.020087464263,7281.738978300745,6309.349297934005,8254.451654172799,-1737.7444846516482,1737.7444846516482,3019755.8939372227,False
2020-08-01,2021-02-01,6,validation,4582.993424023525,7458.306265555897,7458.945081680658,6207.368299124929,8765.76466283575,-2875.3128415323717,2875.3128415323717,8267423.936680962,False
2020-08-01,2021-08-01,12,validation,3543.508985941734,7786.4469563579805,7788.480252434352,6031.624498332694,9599.511675335974,-4242.937970416247,4242.937970416247,18002522.620799936,False
2020-09-01,2020-10-01,1,validation,5855.74394110227,7512.354582509445,7503.9978221340125,6920.98241992362,8091.411376926902,-1656.6106414071755,1656.6106414071755,2744358.8172234935,False
2020-09-01,2020-12-01,3,validation,5664.265569350756,7671.761791944178,7660.377318992382,6689.61760569485,8628.820508277244,-2007.4962225934223,2007.4962225934223,4030041.083726859,False
2020-09-01,2021-03-01,6,validation,4055.2,7867.827220625469,7868.3793981005865,6619.1526643187835,9174.545051863213,-3812.627220625469,3812.627220625469,14536126.323454289,False
2020-09-01,2021-09-01,12,validation,2704.1872990039246,8255.426270364846,8257.472887784195,6511.304619291349,10061.018895634925,-5551.238971360921,5551.238971360921,30816254.117156256,False
2020-10-01,2020-11-01,1,validation,5555.275602812615,6834.762462406933,6826.252300114792,6241.28606125821,7423.766194987088,-1279.486859594318,1279.486859594318,1637086.6238745302,False
2020-10-01,2021-01-01,3,validation,4841.863004371764,6969.228583041899,6957.914665253844,5982.688829353323,7934.169022414592,-2127.3655786701347,2127.3655786701347,4525684.305310518,False
2020-10-01,2021-04-01,6,validation,4470.738472224253,7114.24019164206,7114.822614025269,5859.062054531653,8429.45792510054,-2643.501719417807,2643.501719417807,6988101.340564903,False
2020-10-01,2021-10-01,12,validation,2269.211946488995,7407.254819985891,7409.018740058484,5640.99973296449,9248.253072809983,-5138.0428734968955,5138.0428734968955,26399484.569892235,False
2020-11-01,2020-12-01,1,validation,5664.265569350756,5998.651060794032,5989.931430405828,5391.8683709453735,6593.125395786571,-334.3854914432759,334.3854914432759,111813.65688776114,True
2020-11-01,2021-02-01,3,validation,4582.993424023525,6077.398583658766,6066.11334905229,5072.361624680202,7064.3602316548195,-1494.405159635241,1494.405159635241,2233246.7811444304,False
2020-11-01,2021-05-01,6,validation,4032.831217910092,6130.381516638326,6131.299217114131,4840.48114311302,7480.552247854323,-2097.5502987282334,2097.5502987282334,4399717.255694902,False
2020-11-01,2021-11-01,12,validation,1588.37233054694,6238.009496975373,6239.440860665415,4385.506384839757,8136.543188521428,-4649.6371664284325,4649.6371664284325,21619125.77943262,False
2020-12-01,2021-01-01,1,validation,4841.863004371764,5617.865430234216,5620.197806995116,5001.851763335977,6248.442531333386,-776.0024258624517,776.0024258624517,602179.7649444098,False
2020-12-01,2021-03-01,3,validation,4055.2,5631.2045899329105,5633.502135626388,4689.150383096087,6591.508976420609,-1576.0045899329107,1576.0045899329107,2483790.467489602,False
2020-12-01,2021-06-01,6,validation,4060.0459080962846,5622.408339264753,5615.056015305079,4275.598977999514,6988.741890387763,-1562.362431168468,1562.362431168468,2440976.366326646,False
2020-12-01,2021-12-01,12,validation,3139.2264604363068,5602.760834132036,5623.152108271115,3771.786598346478,7540.47240021693,-2463.534373695729,2463.534373695729,6069001.610380407,False
2021-01-01,2021-02-01,1,validation,4582.993424023525,5688.047594540188,5690.375964638677,5074.887162925505,6317.715485714396,-1105.0541705166625,1105.0541705166625,1221144.7197762688,False
2021-01-01,2021-04-01,3,validation,4470.738472224253,5703.827560290734,5706.106883842277,4765.393641558193,6661.443322384908,-1233.089088066481,1233.089088066481,1520508.6991086258,False
2021-01-01,2021-07-01,6,validation,2805.884166609781,5708.366029428805,5701.004089144416,4368.941267324479,7067.265812597681,-2902.4818628190237,2902.4818628190237,8424400.96399339,False
2021-01-01,2022-01-01,12,validation,2361.645210710561,5712.57381324063,5732.873421571698,3894.911595040485,7638.380183335096,-3350.9286025300694,3350.9286025300694,11228722.499254124,False
2021-02-01,2021-03-01,1,validation,4055.2,4857.754701321087,4860.4930118502,4240.380408869146,5490.370666086027,-802.5547013210871,802.5547013210871,644094.0486125794,False
2021-02-01,2021-05-01,3,validation,4032.831217910092,4755.135308604962,4758.079665843966,3800.622592504913,5729.76477331802,-722.30409069487,722.30409069487,521723.1994345429,True
2021-02-01,2021-08-01,6,validation,3543.508985941734,4600.78224625499,4593.816880446486,3228.2625339960887,6016.3089004714,-1057.2732603132563,1057.2732603132563,1117826.7469734226,True
