date,gross_reserves_usd_m,exports_usd_m,imports_usd_m,remittances_usd_m,usd_lkr,target_diff1,target_log,target_log_diff1,target_pct_change,split
2010-06-01,6274.0,624.4979662227058,1113.6133375678796,343.89562167168805,113.5605,153.0,8.744169388750624,0.02468862789955395,2.4995915700049,train
2010-07-01,6428.0,879.2830567824942,1123.5445207668051,343.0238810410193,112.9571,154.0,8.768418726857403,0.024249338106779206,2.454574434172785,train
2010-08-01,6581.0,803.0986356591901,1103.5185693013718,332.5045531590209,112.3968,153.0,8.791941988456118,0.023523261598715095,2.3802115743621677,train
2010-09-01,6735.0,713.590895198686,1090.3121786553152,345.74244236100924,112.3029,154.0,8.815073088844464,0.02313110038834587,2.3400698981917545,train
2010-10-01,6888.0,932.4533918349484,1238.1561552583523,376.0436001222503,111.667,153.0,8.837536046107568,0.022462957263103434,2.2717149220490063,train
2010-11-01,7042.0,792.4314493061487,1112.990994749606,365.8666819619417,111.5155,154.0,8.859647499714997,0.02211145360742961,2.2357723577235866,train
2010-12-01,7195.0,730.8555624837272,1428.7200782807124,369.6792113356549,111.0081,153.0,8.881141619321468,0.021494119606471074,2.172678216415802,train
2011-01-01,7157.0,922.98926208405,1567.907689902411,377.01919667028966,110.82,-38.0,8.875846177738598,-0.005295441582870097,-0.528144544822795,train
2011-02-01,7119.0,816.9552807742292,1235.863470371473,393.2545824074448,110.8074,-38.0,8.870522545103873,-0.0053236326347256835,-0.5309487215313657,train
2011-03-01,7081.0,930.775019639412,1634.1256642064145,503.4370141605327,110.3022,-38.0,8.865170419651774,-0.005352125452098733,-0.5337828346677953,train
2011-04-01,7043.0,748.6356820692486,1490.3264231450498,414.8376121203856,110.2129,-38.0,8.85978949474541,-0.00538092490636366,-0.5366473661912119,train
2011-05-01,7005.0,836.1273694186206,1683.2261787866205,414.48447238581497,109.7629,-38.0,8.854379458771108,-0.005410035974302119,-0.5395428084623011,train
2011-06-01,6967.0,820.4107865890929,1668.6477921008616,403.53716320026047,109.5391,-38.0,8.848939995030118,-0.005439463740989581,-0.5424696645253357,train
2011-07-01,6929.0,962.1221847896372,1769.8102606359478,415.3978648677539,109.457,-38.0,8.843470781627381,-0.005469213402736983,-0.5454284483995986,train
2011-08-01,6891.0,954.1527477935656,1837.0495435101773,458.5439144737759,109.7139,-38.0,8.837971491357209,-0.0054992902701727076,-0.5484196853802858,train
2011-09-01,6853.0,858.3745695451406,1762.638031753822,401.6127409142636,110.0529,-38.0,8.832441791585824,-0.005529699771384955,-0.5514439123494363,train
2011-10-01,6815.0,889.1348762817661,1756.9878809580116,420.5466910904048,110.0875,-38.0,8.826881344130634,-0.005560447455190243,-0.5545016780971856,train
2011-11-01,6777.0,885.7604342675563,1986.4073019166487,436.00080638963993,111.2205,-38.0,8.821289805136113,-0.005591538994520917,-0.5575935436537005,train
2011-12-01,6739.0,933.3820328161256,1875.8120707711687,506.169622762994,113.8067,-38.0,8.815666824946216,-0.005622980189896154,-0.5607200826324377,train
2012-01-01,6770.0,888.1768344193363,1915.003349666776,472.7576840578115,113.8195,31.0,8.820256365906321,0.0045895409601044435,0.4600089033981236,train
2012-02-01,6800.0,821.0083740706526,1580.669756343379,470.3534018449788,117.281,30.0,8.824677891164198,0.004421525257876979,0.4431314623338345,train
2012-03-01,6831.0,860.9534070468782,1853.572430961998,564.663615774557,125.6605,31.0,8.82922635473185,0.004548463567651595,0.45588235294118373,train
2012-04-01,6862.0,747.8077199412343,1440.3974471538768,475.1612655562439,128.4248,31.0,8.833754223418396,0.004527868686546199,0.45381349729176623,train
2012-05-01,6892.0,805.9587920660201,1575.0258405028171,507.1056700307135,129.0045,30.0,8.83811659764782,0.004362374229424759,0.43719032352083076,train
2012-06-01,6923.0,755.8097439061191,1419.0185200287503,452.3305087541127,131.8519,31.0,8.842604480678025,0.004487883030204642,0.4497968659315177,train
2012-07-01,6953.0,794.4485838607419,1325.0006983966075,475.01051159084767,132.4848,30.0,8.846928500099018,0.0043240194209932525,0.4333381482016563,train
2012-08-01,6984.0,828.9094751989539,1750.0125331366398,490.06391254912114,131.9896,31.0,8.851377097519439,0.004448597420420697,0.4458507119229127,train
2012-09-01,7015.0,801.5163159441854,1314.42178035095,511.2188303465269,131.5105,31.0,8.855805992536562,0.004428895017122514,0.4438717067583031,train
2012-10-01,7045.0,770.3680166743912,1579.12486874701,522.1089073660701,129.0859,30.0,8.86007342433278,0.004267431796218801,0.4276550249465494,train
2012-11-01,7076.0,827.5999432430898,1918.1156798011084,491.2921828051703,130.234,31.0,8.864464055279676,0.004390630946895513,0.4400283889283152,train
2012-12-01,7106.0,870.9723909491089,1519.840615281137,553.1958336987818,128.036,30.0,8.868694776580972,0.004230721301295759,0.423968343697001,train
2013-01-01,7139.0,728.6704873301528,1532.2395828967108,502.2702987304283,126.72,33.0,8.87332798950246,0.00463321292148855,0.4643962848297267,train
2013-02-01,7172.0,797.7068428421537,1433.2484412832089,469.4230744996838,126.7342,33.0,8.877939834725023,0.004611845222562749,0.46224961479199855,train
2013-03-01,7205.0,832.0258408267106,1544.819950858953,511.3652636863323,126.7005,33.0,8.882530508433623,0.004590673708600335,0.4601226993865115,train
2013-04-01,7238.0,696.5398243173713,1525.5540429605203,515.3293172313753,125.9673,33.0,8.887100204123687,0.004569695690063824,0.45801526717557106,train
2013-05-01,7270.0,793.8675557900644,1548.8009254471533,512.3554990725178,126.2432,32.0,8.891511570527564,0.004411366403877182,0.44211108040894675,train
2013-06-01,7303.0,807.6126751415874,1509.3940455254678,528.2331006348323,127.9125,33.0,8.89604050162011,0.004528931092545818,0.4539202200825265,train
2013-07-01,7336.0,859.3002286407439,1433.0315762055395,526.6277433381692,131.1345,33.0,8.9005490139363,0.00450851231619076,0.4518690948925208,train
2013-08-01,7369.0,918.6373789675208,1474.908208041011,540.0171500252005,131.9682,33.0,8.905037290767,0.004488276830699078,0.4498364231188656,train
2013-09-01,7402.0,899.0348928672161,1486.3308700693876,557.7681820988254,132.3465,33.0,8.909505512946101,0.0044682221791010335,0.4478219568462505,train
2013-10-01,7434.0,1041.3319298561878,1393.6547102502932,572.954526078492,130.9955,32.0,8.913819350857198,0.004313837911096741,0.43231559038097167,train
2013-11-01,7005.112547885943,1031.842627143399,1569.6831663124335,567.7798934674968,131.0895,-428.88745211405694,8.854395525435178,-0.059423825422019405,-5.769268928087934,train
2013-12-01,7495.272121523254,987.6804415027386,1551.0887289877007,602.83257708076,130.7643,490.15957363731104,8.922027716952096,0.06763219151691757,6.997169143060167,train
2014-01-01,8048.583905345139,903.9139666797748,1655.4543712331215,555.4649928517975,130.6857,553.311783821885,8.993251442558726,0.0712237256066306,7.382144034944482,train
2014-02-01,8259.552166921556,842.3512780193341,1420.4187569877663,502.0028602715727,130.7968,210.9682615764168,9.01912564796551,0.02587420540678309,2.6211848451540787,train
2014-03-01,8059.724448730886,1070.1044568320217,1672.100925295082,605.8833771114471,130.5857,-199.82771819066966,8.994634647413896,-0.02449100055161324,-2.419352940114039,train
2014-04-01,8896.731082422368,764.2577702006421,1444.452689961651,554.0070764109681,130.5936,837.0066336914815,9.093439194141382,0.09880454672748584,10.38505272749466,train
2014-05-01,8772.663840758212,883.529809367989,1353.193029538538,557.4906459045135,130.3833,-124.06724166415552,9.07939578391542,-0.01404341022596256,-1.3945261525245,train
2014-06-01,9164.004705013178,985.6929784578036,1439.4000128990126,585.1055018097321,130.2714,391.3408642549657,9.123038556996779,0.04364277308135911,4.46091257294936,train
2014-07-01,8973.741181262614,956.6346767350084,1845.3214368037536,606.6550748186075,130.2123,-190.26352375056376,9.102057945164216,-0.020980611832563056,-2.076204998525155,train
2014-08-01,9185.637359336446,992.63269049287,1724.5032441152289,548.0727325527537,130.1748,211.89617807383183,9.125396386568536,0.023338441404320065,2.361291392226428,train
2014-09-01,8821.804336421244,902.8373773847655,1667.4534675979414,574.9856248534595,130.2562,-363.8330229152016,9.084981701368966,-0.040414685199570144,-3.960890340890666,train
2014-10-01,8790.920103836674,901.8375575516689,1750.183376902154,600.0567071720749,130.5618,-30.884232584570782,9.081474661405451,-0.0035070399635142024,-0.35008974816028715,train
2014-11-01,8330.88205481358,921.1614324694976,1646.8201108412436,619.2519676205568,130.9278,-460.03804902309275,9.027724618488254,-0.05375004291719776,-5.233104653315134,train
2014-12-01,8208.41,1005.11543783744,1797.463646193876,708.8399889603842,131.0786,-122.47205481358105,9.012914517430085,-0.014810101058168712,-1.4700970918537615,train
2015-01-01,7252.429999999999,920.4476963793944,1681.638791031421,523.519712878593,131.6075,-955.9800000000005,8.889091864104788,-0.12382265332529663,-11.646348074718492,train
2015-02-01,7420.4554996301695,907.2515049439392,1529.5265400541437,511.6433953413521,132.7221,168.0254996301701,8.911995722367573,0.022903858262784738,2.3168165653466577,train
2015-03-01,6819.545505227352,1068.1060192583625,1580.9272446218558,644.2602425886938,132.95,-600.9099944028176,8.827548107154602,-0.08444761521297117,-8.09802032277892,train
2015-04-01,7454.631473478869,716.9613847423697,1490.4509529838303,585.9398490044716,132.9227,635.0859682515174,8.916590792506659,0.08904268535205695,9.312731585480405,train
2015-05-01,6845.77,886.0799616559248,1585.454308617008,537.735348282721,133.46,-608.8614734788689,8.831386222265174,-0.0852045702414852,-8.167559666027735,train
2015-06-01,7525.485379478358,945.5608430207932,1678.7413939501655,629.565391314044,133.9382,679.7153794783571,8.926050589793155,0.09466436752798124,9.928983583707263,train
2015-07-01,6808.550649772876,937.1303438840304,1533.8807808781642,599.2998373972191,133.6818,-716.9347297054819,8.825934549733974,-0.10011604005918073,-9.52675732598629,train
2015-08-01,6457.719028229418,802.1047080460835,1523.3760244315254,566.0370747735901,133.8519,-350.8316215434579,8.773031442819775,-0.05290310691419897,-5.15280915998122,train
2015-09-01,6783.679258500682,853.1930077327272,1582.7227992084577,584.176236722284,139.2329,325.96023027126466,8.82227489724153,0.04924345442175415,5.0476062654066345,train
2015-10-01,6480.684974502037,850.7400210189741,1638.2704551726467,605.1425603891124,140.851,-302.9942839986452,8.776581489701513,-0.04569340754001594,-4.4665184253657175,train
2015-11-01,7281.211071319568,838.4221305919958,1464.8793205654338,574.464192736019,141.9637,800.5260968175307,8.893052483305604,0.11647099360409108,12.352492058588949,train
2015-12-01,7303.637753940239,820.500899422696,1644.7273874133791,618.5176333174204,143.335,22.426682620671272,8.896127825472647,0.0030753421670421943,0.30800758831190933,train
2016-01-01,6294.321468539339,898.5946185751349,1589.1274650552757,563.4316940355515,143.5505,-1009.3162854009006,8.747403151715558,-0.14872467375708887,-13.81936398552056,train
2016-02-01,6573.369087438172,891.5970221812355,1439.3103148514124,554.1924570180978,143.639,279.0476188988332,8.790781778739166,0.04337862702360873,4.433323278666101,train
2016-03-01,6221.186356293166,949.011635083698,1566.028121829301,675.7404718166489,145.1335,-352.1827311450061,8.735715900069106,-0.05506587867006019,-5.357720317546654,train
2016-04-01,6068.525257617199,710.3897803653814,1460.8906891889208,578.0044486161236,145.2019,-152.66109867596697,8.710870898623476,-0.024845001445630288,-2.453890462894426,train
2016-05-01,5645.141094794298,780.1272098015405,1589.8369421072923,597.2366386830122,145.9081,-423.3841628229011,8.638550470920524,-0.07232042770295166,-6.9767224300742665,train
2016-06-01,5292.27,900.5619459385096,1675.802035776332,644.480992933533,145.8609,-352.8710947942973,8.574002544341512,-0.06454792657901187,-6.250881755988347,train
2016-07-01,6489.187703676498,891.5439655383419,1432.798930567194,572.7679136535048,145.401,1196.9177036764977,8.777892640643937,0.20389009630242505,22.6163386160664,train
2016-08-01,6598.941049091874,866.3099109246001,1649.0886004680874,618.2873505229056,145.2035,109.75334541537632,8.794664468034211,0.01677182739027394,1.6913264098246783,train
2016-09-01,6455.718499925342,897.8775700778094,1508.2611045601425,577.8753625923472,145.4581,-143.2225491665322,8.772721606137527,-0.021942861896684818,-2.170386856028095,train
2016-10-01,6053.842609846051,855.0431213174927,1723.5223677947777,607.532058283979,146.76,-401.8758900792909,8.70844849153081,-0.06427311460671703,-6.225114835535939,train
2016-11-01,5644.133101910387,809.6505412056308,1732.0802257051048,567.3784015429475,147.81,-409.7095079356641,8.63837189559867,-0.07007659593213944,-6.767759493273029,train
