date,d_gross_reserves_usd_m,d_exports_usd_m,d_imports_usd_m,d_remittances_usd_m,d_usd_lkr,ect_lag1,split,regime_init_high_vol,regime_threshold
2012-07-01,30.0,38.63883995462277,-94.01782163214284,22.680002836734957,0.6329000000000065,65.22385316308674,train,0,622.3001610473664
2012-08-01,31.0,34.460891338212036,425.0118347400323,15.053400958273471,-0.4952000000000112,-648.9207988810338,train,0,622.3001610473664
2012-09-01,31.0,-27.393159254768534,-435.5907527856898,21.154917797405744,-0.4790999999999883,-714.1343485015088,train,0,622.3001610473664
2012-10-01,30.0,-31.148299269794165,264.7030883960599,10.890077019543185,-2.424599999999998,-844.8196412078343,train,0,622.3001610473664
2012-11-01,31.0,57.231926568698555,338.99081105409846,-30.816724560899786,1.1480999999999995,-145.17151310838335,train,0,622.3001610473664
2012-12-01,30.0,43.3724477060191,-398.27506451997147,61.90365089361154,-2.1980000000000075,-469.81014177173154,train,0,622.3001610473664
2013-01-01,33.0,-142.3019036189561,12.398967615573838,-50.92553496835353,-1.3160000000000025,-1815.6070319672601,train,0,622.3001610473664
2013-02-01,33.0,69.03635551200091,-98.9911416135019,-32.84722423074447,0.014200000000002433,511.2991312111693,train,0,622.3001610473664
2013-03-01,33.0,34.31899798455686,111.57150957574413,41.94218918664848,-0.033699999999996066,-529.1711666265439,train,0,622.3001610473664
2013-04-01,33.0,-135.48601650933927,-19.265907898432715,3.9640535450429866,-0.7332000000000107,-1015.0540032114776,train,0,622.3001610473664
2013-05-01,32.0,97.32773147269313,23.246882486633012,-2.9738181588575117,0.27590000000000714,1030.7375576862244,train,0,622.3001610473664
2013-06-01,33.0,13.74511935152293,-39.40687992168546,15.877601562314567,1.6692999999999927,-380.25912045378664,train,0,622.3001610473664
2013-07-01,33.0,51.68755349915648,-76.36246931992832,-1.605357296663101,3.2220000000000084,-593.6925967585465,train,0,622.3001610473664
2013-08-01,33.0,59.337150326776964,41.87663183547147,13.389406687031283,0.8336999999999932,-1327.386648770072,train,0,622.3001610473664
2013-09-01,33.0,-19.60248610030476,11.422662028376635,17.751032073624856,0.37829999999999586,-2164.3038805003757,train,0,622.3001610473664
2013-10-01,32.0,142.29703698897174,-92.67615981909444,15.186343979666617,-1.350999999999999,-1857.5952733554973,train,0,622.3001610473664
2013-11-01,-428.88745211405694,-9.489302712788685,176.02845606214032,-5.174632610995218,0.09399999999999409,-4196.5747086203355,train,0,622.3001610473664
2013-12-01,490.15957363731104,-44.16218564066048,-18.59443732473278,35.052683613263184,-0.32519999999999527,-4258.998258266418,train,0,622.3001610473664
2014-01-01,553.311783821885,-83.7664748229638,104.36564224542076,-47.367584228962414,-0.07859999999999445,-3228.0644390507027,train,0,622.3001610473664
2014-02-01,210.9682615764168,-61.5626886604407,-235.0356142453552,-53.462132580224875,0.11109999999999332,-1138.6826712051095,train,0,622.3001610473664
2014-03-01,-199.82771819066966,227.75317881268757,251.6821683073158,103.88051683987442,-0.21109999999998763,-98.88863656040456,train,0,622.3001610473664
2014-04-01,837.0066336914815,-305.8466866313796,-227.6482353334311,-51.876300700478964,0.007900000000006457,-3798.5241160935393,train,0,622.3001610473664
2014-05-01,-124.06724166415552,119.27203916734686,-91.25966042311302,3.4835694935453603,-0.21030000000001792,1601.6455846829128,train,0,622.3001610473664
2014-06-01,391.3408642549657,102.16316908981469,86.20698336047462,27.614855905218633,-0.11189999999999145,-467.95723466052067,train,0,622.3001610473664
2014-07-01,-190.26352375056376,-29.05830172279525,405.921423904741,21.549573008875427,-0.05910000000000082,-1622.6821091135475,train,0,622.3001610473664
2014-08-01,211.89617807383183,35.9980137578616,-120.81819268852473,-58.58234226585387,-0.037499999999994316,-964.7596627674361,train,0,622.3001610473664
2014-09-01,-363.8330229152016,-89.79531310810444,-57.049776517287455,26.912892300705835,0.08140000000000214,-1273.3891060734243,train,0,622.3001610473664
2014-10-01,-30.884232584570782,-0.9998198330966943,82.72990930421247,25.071082318615368,0.3055999999999983,-406.18904013600996,train,0,622.3001610473664
2014-11-01,-460.03804902309275,19.32387491782879,-103.36326606091029,19.195260448481918,0.36599999999998545,-389.07779169509394,train,0,622.3001610473664
2014-12-01,-122.47205481358105,83.95400536794239,150.6435353526324,89.58802133982738,0.15080000000000382,-1307.5365485499055,train,0,622.3001610473664
2015-01-01,-955.9800000000005,-84.66774145804561,-115.82485516245492,-185.32027608179112,0.528899999999993,-2794.946655446262,train,0,622.3001610473664
2015-02-01,168.0254996301701,-13.196191435455262,-152.11225097727743,-11.876317537240936,1.1146000000000242,-2033.8078597089095,train,0,622.3001610473664
2015-03-01,-600.9099944028176,160.85451431442334,51.40070456771218,132.6168472473417,0.2278999999999769,-1768.2007823665533,train,0,622.3001610473664
2015-04-01,635.0859682515174,-351.14463451599283,-90.47629163802549,-58.32039358422219,-0.02729999999999677,-5146.68487233443,train,0,622.3001610473664
2015-05-01,-608.8614734788689,169.1185769135551,95.00335563317776,-48.204500721750605,0.5373000000000161,919.9017274299819,train,0,622.3001610473664
2015-06-01,679.7153794783571,59.480881364868424,93.28708533315739,91.83004303132293,0.47819999999998686,-2006.1508063582667,train,1,622.3001610473664
2015-07-01,-716.9347297054819,-8.430499136762819,-144.86061307200134,-30.265553916824842,-0.2563999999999851,-2379.1977649310907,train,1,622.3001610473664
2015-08-01,-350.8316215434579,-135.02563583794688,-10.504756446638794,-33.26276262362899,0.17009999999999081,-3054.98076389147,train,1,622.3001610473664
2015-09-01,325.96023027126466,51.08829968664372,59.34677477693231,18.139161948693868,5.381,-1251.6779972934837,train,1,622.3001610473664
2015-10-01,-302.9942839986452,-2.4529867137531483,55.54765596418906,20.96632366682843,1.6180999999999983,-1512.410316569286,train,0,622.3001610473664
2015-11-01,800.5260968175307,-12.317890426978238,-173.39113460721296,-30.67836765309346,1.1126999999999896,-1721.1177741494005,train,0,622.3001610473664
2015-12-01,22.426682620671272,-17.92123116929986,179.84806684794535,44.053440581401446,1.3713000000000193,-806.3633153481544,train,0,622.3001610473664
2016-01-01,-1009.3162854009006,78.0937191524389,-55.59992235810341,-55.085939281868946,0.2154999999999916,-385.05331885714287,train,1,622.3001610473664
2016-02-01,279.0476188988332,-6.997596393899357,-149.81715020386332,-9.23923701745366,0.08850000000001046,-2484.8013554634254,train,0,622.3001610473664
2016-03-01,-352.1827311450061,57.41461290246252,126.71780697788859,121.5480147985511,1.494499999999988,-2241.9650010041337,train,0,622.3001610473664
2016-04-01,-152.66109867596697,-238.62185471831663,-105.13743264038021,-97.73602320052532,0.06839999999999691,-3629.4896555915434,train,0,622.3001610473664
2016-05-01,-423.3841628229011,69.73742943615912,128.94625291837156,19.23219006688862,0.7061999999999955,30.379818835023706,train,0,622.3001610473664
2016-06-01,-352.8710947942973,120.43473613696904,85.96509366903979,47.244354250520814,-0.04720000000000368,-1342.5817848575336,train,0,622.3001610473664
2016-07-01,1196.9177036764977,-9.01798040016763,-243.00310520913808,-71.71307928002818,-0.4598999999999762,-3576.0418470930335,train,1,622.3001610473664
2016-08-01,109.75334541537632,-25.23405461374182,216.2896699008934,45.519436869400806,-0.19750000000001933,-2328.4698543321683,train,0,622.3001610473664
