date,gross_reserves_usd_m,exports_usd_m,imports_usd_m,usd_lcy,m2_lcy_m,country,country_code,trade_balance_usd_m,m2_usd_m,reserve_change_usd_m,reserve_change_pct
2004-04-01,12338.6725288606,,,57.4681,2405074.0,pakistan,PAK,,41850.59189358966,-188.56891776765042,-1.5052708816305604
2004-05-01,12224.64915411905,,,57.7176,2459242.0,pakistan,PAK,,42608.18190638557,-114.02337474154956,-0.9241137932370358
2004-06-01,12022.2421394487,,,58.1257,2541348.0,pakistan,PAK,,43721.58958945871,-202.4070146703507,-1.6557286194356813
2004-07-01,11540.53765105789,,,58.29935,2547430.0,pakistan,PAK,,43695.68442872862,-481.7044883908093,-4.006777461337164
2004-08-01,11496.62620722639,,,58.81435,2554300.0,pakistan,PAK,,43429.87723234211,-43.91144383149913,-0.38049738373735487
2004-09-01,11634.403043611861,,,59.21095,2571949.0,pakistan,PAK,,43437.05007266393,137.77683638547023,1.1984110286100247
2004-10-01,11345.712522036169,,,59.21095,2629224.0,pakistan,PAK,,44404.35426217617,-288.6905215756924,-2.481352248959645
2004-11-01,10949.43011124421,,,59.673,2674845.0,pakistan,PAK,,44825.046503443766,-396.2824107919587,-3.4927943927918204
2004-12-01,10718.17045662103,,,59.124,2784954.0,pakistan,PAK,,47103.61274609296,-231.2596546231798,-2.1120702381185463
2005-01-01,11496.78763506377,,,59.124,2783861.67,pakistan,PAK,,47085.13750761112,778.6171784427406,7.264459747062135
2005-02-01,11499.53300025776,,,59.124,2816288.33,pakistan,PAK,,47633.589236181586,2.7453651939886186,0.023879411198435285
2005-03-01,11612.62343778649,,,59.124,2859102.0,pakistan,PAK,,48357.72275218186,113.09043752873004,0.9834350449378748
2005-04-01,11922.20285058078,,,59.124,2876672.0,pakistan,PAK,,48654.894797375004,309.57941279428996,2.665886950117957
2005-05-01,11470.78070250236,,,59.5603,2911208.0,pakistan,PAK,,48878.33002855929,-451.4221480784199,-3.786398820218273
2005-06-01,11516.298766021,,,59.7145,3013008.0,pakistan,PAK,,50456.89070493766,45.5180635186407,0.39681748521886995
2005-07-01,11476.69799210162,,,59.6406,2999967.0,pakistan,PAK,,50300.75150149395,-39.60077391938103,-0.34386719834174073
2005-08-01,11199.274778626239,,,59.68085,2980835.0,pakistan,PAK,,49946.25579226838,-277.4232134753802,-2.417273798319919
2005-09-01,11145.33217924621,,,59.7152,3000773.0,pakistan,PAK,,50251.41002625797,-53.942599380028696,-0.4816615401113111
2005-10-01,11033.51587997932,,,59.7223,3031372.0,pakistan,PAK,,50757.79064101684,-111.81629926688947,-1.0032567667664805
2005-11-01,10608.99419428993,,,59.7805,3096824.0,pakistan,PAK,,51803.24687816261,-424.52168568939123,-3.8475649131905487
2005-12-01,11109.35883406798,,,59.82995,3240931.0,pakistan,PAK,,54169.04075634361,500.36463977805033,4.7164192063311905
2006-01-01,11118.27919361412,,,59.84145,3212506.0,pakistan,PAK,,53683.62564744003,8.92035954614039,0.08029589897469158
2006-02-01,11060.69493149396,,,59.9362,3263370.0,pakistan,PAK,,54447.395730793745,-57.58426212016093,-0.5179242319552024
2006-03-01,11052.601252715629,,,59.97705,3281567.0,pakistan,PAK,,54713.711327916266,-8.093678778330286,-0.0731751379859924
2006-04-01,12882.74607699642,,,60.0508,3339151.0,pakistan,PAK,,55605.437396337766,1830.144824280791,16.55849860530456
2006-05-01,12770.07798682103,,,60.1854,3400248.0,pakistan,PAK,,56496.22665962177,-112.6680901753898,-0.8745657913460825
2006-06-01,12847.04862110142,,,60.2637,4363547.0,pakistan,PAK,,72407.55214167069,76.97063428038928,0.6027420847376508
2006-07-01,12508.176143289369,,,60.3561,4325502.0,pakistan,PAK,,71666.36015249495,-338.8724778120504,-2.6377457407256055
2006-08-01,12572.25912031881,,,60.3475,4328859.0,pakistan,PAK,,71732.20100252703,64.08297702944037,0.512328706402343
2006-09-01,12209.93042074177,,,60.5603,4375359.0,pakistan,PAK,,72247.97433302015,-362.3286995770395,-2.8819697089400353
2006-10-01,12371.008910706381,,,60.5971,4434202.0,pakistan,PAK,,73175.15194621525,161.07848996461144,1.3192416698049048
2006-11-01,12402.87781006031,,,60.7783,4476550.0,pakistan,PAK,,73653.7547117968,31.86889935392901,0.2576095416627622
2006-12-01,12878.0219281544,,,60.9182,4631578.0,pakistan,PAK,,76029.46245949487,475.1441180940892,3.8309183188814933
2007-01-01,12770.53021597921,,,60.7683,4589984.0,pakistan,PAK,,75532.53916927082,-107.4917121751896,-0.8346911720983119
2007-02-01,13311.35521087603,,,60.8103,4662354.0,pakistan,PAK,,76670.4653652424,540.8249948968205,4.234945501480514
2007-03-01,13530.309354669122,,,60.7075,4769593.0,pakistan,PAK,,78566.783346374,218.95414379309113,1.6448674107516492
2007-04-01,13812.78601780841,,,60.732,4805262.0,pakistan,PAK,,79122.40663900416,282.4766631392886,2.0877324807197395
2007-05-01,13782.043850015489,,,60.7561,4889661.0,pakistan,PAK,,80480.1657775927,-30.742167792921464,-0.22256312197471706
2007-06-01,15614.50697334492,,,60.5224,5068047.0,pakistan,PAK,,83738.36794310866,1832.4631233294313,13.296018669447008
2007-07-01,15594.65878604626,,,60.4025,5019669.0,pakistan,PAK,,83103.66292785894,-19.848187298659468,-0.12711376242965367
2007-08-01,15866.81081982914,,,60.6548,5097161.0,pakistan,PAK,,84035.57509051221,272.1520337828788,1.745161837246445
2007-09-01,16286.1724162561,,,60.7105,5158439.0,pakistan,PAK,,84967.82269953302,419.3615964269611,2.6430112590923205
2007-10-01,16714.70156347144,,,60.7477,5173314.0,pakistan,PAK,,85160.65628822161,428.52914721534034,2.6312453059111895
2007-11-01,16379.823857605828,,,61.2207,5267981.0,pakistan,PAK,,86049.0161007633,-334.87770586561237,-2.0034919833535003
2007-12-01,15798.067447296511,,,61.2207,5439249.0,pakistan,PAK,,88846.5666024727,-581.7564103093173,-3.5516646294043275
2008-01-01,15406.4759423172,1491.647383973068,3595.142214969773,61.2207,5365571.0,pakistan,PAK,-2103.494830996705,87643.08477361416,-391.59150497931114,-2.4787304288052203
2008-02-01,14843.42891652558,1573.2369770355451,3741.4216596674,61.2207,5428184.0,pakistan,PAK,-2168.184682631855,88665.82708136301,-563.0470257916204,-3.6546126959838388
2008-03-01,13628.2689401284,1812.463259629776,3909.707446548345,62.7172,5481365.0,pakistan,PAK,-2097.244186918569,87398.11407397014,-1215.159976397179,-8.186517975265872
2008-04-01,12930.0269566264,1784.65995866693,4085.7906909647413,64.5241,5489989.0,pakistan,PAK,-2301.1307322978114,85084.31733259355,-698.241983502001,-5.123482568252147
2008-05-01,11070.84404709767,1915.0130595666672,3870.679407179738,67.0958,5567942.5,pakistan,PAK,-1955.666347613071,82984.96329129394,-1859.1829095287303,-14.378801496434113
