date,gross_reserves_usd_m,exports_usd_m,imports_usd_m,usd_lcy,m2_lcy_m,country,country_code,trade_balance_usd_m,m2_usd_m,reserve_change_usd_m,reserve_change_pct
2007-05-01,28112.49337370697,,,5.688,650936.548952,egypt,EGY,,114440.32154571026,911.7112066968111,3.3517830520423786
2007-06-01,28563.22559776786,,,5.6892,664025.5266,egypt,EGY,,116716.85414469521,450.7322240608919,1.6033164261497035
2007-07-01,29614.4216788763,,,5.6411,672300.8597,egypt,EGY,,119179.03595043521,1051.196081108439,3.6802428966236533
2007-08-01,29714.5982129765,,,5.6471,678183.2122,egypt,EGY,,120094.06814116979,100.1765341001992,0.3382694255740004
2007-09-01,30110.55967417168,,,5.5776,682168.6536,egypt,EGY,,122305.05120481926,395.96146119518016,1.3325485956672267
2007-10-01,31264.92922284059,,,5.5028,690202.749,egypt,EGY,,125427.55488115142,1154.3695486689103,3.833769817500632
2007-11-01,31890.58056811952,,,5.5197,704900.8155,egypt,EGY,,127706.36366106854,625.6513452789295,2.0011282956043264
2007-12-01,32214.42178634764,,,5.5038,716545.3719,egypt,EGY,,130191.02654529599,323.84121822812085,1.015476082463862
2008-01-01,32959.25292802349,2172.0,3794.0,5.5408,724986.3921,egypt,EGY,-1622.0,130845.07509745886,744.8311416758479,2.3121046424974256
2008-02-01,33808.79614277116,2155.0,3642.0,5.4792,738725.5807,egypt,EGY,-1487.0,134823.62036428676,849.5432147476749,2.577556040493123
2008-03-01,34515.73792504524,2423.0,4270.0,5.4424,756825.8128,egypt,EGY,-1847.0,139061.0415992944,706.9417822740797,2.0909995709067486
2008-04-01,34482.99644038215,2539.0,4363.0,5.365,761200.7505,egypt,EGY,-1824.0,141882.71211556383,-32.741484663092706,-0.09485958183538257
2008-05-01,34792.03149106936,2461.0,4850.0,5.7572,762456.108901,egypt,EGY,-2389.0,132435.23047679427,309.0350506872128,0.8961954661379501
2008-06-01,34941.757381653035,2991.0,4453.0,5.3236,766939.512251,egypt,EGY,-1462.0,144064.0754848223,149.72589058367157,0.43034535256185613
2008-07-01,35001.21529836358,2671.0,4893.0,5.2969,775537.0541,egypt,EGY,-2222.0,146413.3840737035,59.45791671054758,0.17016292586864434
2008-08-01,34930.87531192115,1919.0,5428.0,5.3572,781477.655279,egypt,EGY,-3509.0,145874.2729931681,-70.33998644243547,-0.20096441178636404
2008-09-01,35180.670150841135,1908.0,4500.0,5.453,778151.308616,egypt,EGY,-2592.0,142701.50533944616,249.79483891998825,0.7151118793600197
2008-10-01,34912.21842504603,1819.0,4733.0,5.5578,780824.074329,egypt,EGY,-2914.0,140491.57478300764,-268.45172579510836,-0.7630659809608309
2008-11-01,34487.172726294,1646.0,4319.0,5.5073,785082.1634,egypt,EGY,-2673.0,142553.00481179525,-425.04569875203015,-1.2174697510688781
2008-12-01,34330.50504839257,1599.0,3583.0,5.5041,791660.0728,egypt,EGY,-1984.0,143830.97560000725,-156.6676779014233,-0.454278114198603
2009-01-01,33768.45457250744,1721.0,3564.0,5.5449,793637.1261,egypt,EGY,-1843.0,143129.2045122545,-562.0504758851312,-1.6371750869754509
2009-02-01,33479.5182307225,1825.0,3536.0,5.5934,800037.901909,egypt,EGY,-1711.0,143032.48505542247,-288.9363417849454,-0.8556398136744581
2009-03-01,32554.43940676118,1845.0,3422.0,5.6289,808887.6188,egypt,EGY,-1577.0,143702.60953294605,-925.0788239613175,-2.763118685239674
2009-04-01,31461.79337192345,1796.0,3394.0,5.6234,812694.611507,egypt,EGY,-1598.0,144520.14999946652,-1092.6460348377295,-3.35636569005332
2009-05-01,31696.57117553802,2080.0,3392.0,5.6089,827132.5461,egypt,EGY,-1312.0,147467.8717930432,234.7778036145719,0.7462314714204776
2009-06-01,31664.673822329078,2317.0,3461.0,5.5855,831498.4914,egypt,EGY,-1144.0,148867.333524304,-31.89735320894397,-0.10063345032588211
