date,const,gross_reserves_usd_m_lag1,usd_lkr_lag1,m2_usd_m_lag1
2010-01-01,97.16533867635155,1.0928550899493277,1.547766908774532,0.2550604712425546
2010-02-01,97.1869940139964,1.0946188827270595,1.542872083117962,0.255628962198189
2010-03-01,97.17728088974572,1.103367289075399,1.5404736428680923,0.2552561113764287
2010-04-01,97.16832105920072,1.1056863775351744,1.5416382820398358,0.2564118342066507
2010-05-01,97.16577828370893,1.1145862022137596,1.5507472638093138,0.25499326329418387
2010-06-01,97.16330761338565,1.1220700196471938,1.5489496198556905,0.26374614365856075
2010-07-01,97.18060142747005,1.130680482984652,1.5416986433885647,0.25801370300622145
2010-08-01,97.17239273919401,1.1389220166804814,1.5524744543518139,0.2609910673148469
2010-09-01,97.18089865664204,1.1399447451667584,1.5391819924993237,0.2646656282866238
2010-10-01,97.17146339172984,1.1451292845028034,1.542141737249732,0.26911716112901635
2010-11-01,97.16647774859773,1.1451497016961532,1.5425634810345286,0.2720287603750115
2010-12-01,97.16904740032149,1.1446679837258635,1.5410924772259635,0.2662234124652523
2011-01-01,97.16568176990562,1.1386825304079027,1.5443532406978668,0.2704943956860909
2011-02-01,97.1771687721564,1.1317999986405067,1.5430863203525491,0.27712770877673437
2011-03-01,97.16255752408256,1.1255383295542871,1.548031790613452,0.2728428091152817
2011-04-01,97.17947336555524,1.1183475413037065,1.5510468242854174,0.27920010455527466
