date,const_mean,const_lower_16,const_upper_84,const_lower_5,const_upper_95,gross_reserves_usd_m_lag1_mean,gross_reserves_usd_m_lag1_lower_16,gross_reserves_usd_m_lag1_upper_84,gross_reserves_usd_m_lag1_lower_5,gross_reserves_usd_m_lag1_upper_95,trade_balance_usd_m_lag1_mean,trade_balance_usd_m_lag1_lower_16,trade_balance_usd_m_lag1_upper_84,trade_balance_usd_m_lag1_lower_5,trade_balance_usd_m_lag1_upper_95,usd_lkr_lag1_mean,usd_lkr_lag1_lower_16,usd_lkr_lag1_upper_84,usd_lkr_lag1_lower_5,usd_lkr_lag1_upper_95
2017-11-01,275.42898438469706,275.2673536484611,275.5815254788324,275.1824745705653,275.6886819577108,113.27976963906822,113.14941608628246,113.40362056299094,113.0793369410959,113.47794333869001,-0.190479407480792,-0.2475199315880839,-0.13714000427442471,-0.27650471919603425,-0.10434891761998849,9.724867559035484,9.720422314756634,9.729390638526766,9.717347103203197,9.732363663793425
2017-12-01,275.4204366736675,275.25723899737045,275.56968181824044,275.1645207584397,275.67737826654536,113.77561136744525,113.63876832788743,113.92070799792178,113.56540809716476,114.00183848917956,-0.18699146182914103,-0.23614914218030766,-0.13728830687800597,-0.26820200439869823,-0.10722755218952358,9.900662010056372,9.894244081483716,9.906767597541823,9.89026200337831,9.91124768558482
2018-01-01,275.4175266765957,275.26229851069314,275.5681920445336,275.1661875164351,275.6558628858083,114.26215420626284,114.1444232618661,114.3845986553134,114.04200038185326,114.45447692474332,-0.1898369478823933,-0.24186374096689808,-0.13456697933223005,-0.274664138541124,-0.10032067810226326,9.960771483219153,9.9549610996187,9.966277992620796,9.951761545059725,9.970211496615498
2018-02-01,275.42640260924884,275.27637156455097,275.5767699666921,275.1740758662528,275.6977645997215,114.74792732917376,114.60455138968909,114.88205530451111,114.51939639088174,114.96665725497321,-0.18130709241462398,-0.23021706452331914,-0.1302135485287066,-0.2595471673541576,-0.0869559510315581,10.135385654865722,10.129182295806812,10.141877279466364,10.126154908267445,10.144946734680513
2018-03-01,275.43338050921005,275.29048144149624,275.59821262562195,275.19253130594427,275.6823479889024,115.2446914921524,115.10780586387904,115.37760116016709,115.0147661362471,115.46199750219095,-0.18388186509026602,-0.24397484916395995,-0.12783282415386965,-0.272755813478409,-0.0989548301385148,10.241969522711717,10.235994020874985,10.247929618494236,10.232143340128788,10.251236803388274
2018-04-01,275.426622715175,275.2794053978902,275.57870954507337,275.17045208736596,275.673275881852,115.74882425204432,115.61884312362275,115.87560991111096,115.53608491650073,115.95449464464991,-0.18038639752507585,-0.234656435801578,-0.12337177489985171,-0.27342096953138145,-0.08639143256846854,10.411042984367713,10.405457046948795,10.416423985120641,10.401817248520965,10.41997908885359
2018-05-01,275.44369998908496,275.29797067919316,275.5843926242702,275.20489201122405,275.6917452351551,116.242244113394,116.11621021000387,116.3652543823777,116.03626942519139,116.45680547336214,-0.1798767198959115,-0.23231974087210577,-0.12441121902843014,-0.26275197771619374,-0.09772333852327582,10.259130106901013,10.254940395120453,10.263359481262034,10.251406362653837,10.266297951658816
2018-06-01,275.43119894109,275.26242126595486,275.58756011158863,275.16399560341455,275.68921378976677,116.72962693203111,116.602426185092,116.86014161904565,116.50319386262171,116.94327063702977,-0.17742150228096984,-0.23211569325966008,-0.12030770520085146,-0.26368511143362217,-0.0928667740106323,10.45004926280223,10.445291106212629,10.45469945688871,10.442462278813801,10.45804859571879
2018-07-01,275.4275484412024,275.2732311956007,275.5774381677429,275.1753434681855,275.6701833837043,117.21904381364617,117.0970109361187,117.34416849708452,117.00192863319354,117.42487100408347,-0.17709634184140632,-0.22875639496909622,-0.1270018224197042,-0.2695771026964429,-0.08909294653626124,10.465670332291698,10.461567058829386,10.469651970402357,10.458808253450105,10.472327314789949
2018-08-01,275.432389972616,275.27112161876886,275.58537659400173,275.17765141803125,275.66793513145495,117.7220198951257,117.59538155542919,117.85142765526943,117.50339256021002,117.94256132687886,-0.1753799279930031,-0.22680553908133946,-0.1258123826814034,-0.25306493510423644,-0.08758652323841043,10.574815908526688,10.570730836107336,10.57879340775806,10.568955568307791,10.58117077513926
2018-09-01,275.43807063532967,275.27927662618805,275.587256834675,275.1929447256029,275.6895183147254,118.21172153113834,118.09812490197116,118.32757683452564,118.00208355888827,118.41946771775488,-0.17945376710625147,-0.23377309137551555,-0.1261986667776937,-0.2742924900768935,-0.0892128644581746,10.611250577239685,10.60683423244338,10.615627772495433,10.603396194454902,10.618714834113346
2018-10-01,275.44681866006107,275.29540778032464,275.5838867880877,275.2073391942428,275.674748969273,118.69548195088304,118.56160158025745,118.82389934869282,118.47222508646806,118.91930068417157,-0.17251568202761705,-0.22488835494808748,-0.1183504585361983,-0.267840994464099,-0.08124891623559131,10.81139082710956,10.806981150688129,10.815835223054245,10.804097932294924,10.81927196204995
2018-11-01,275.4465379050748,275.29686959766747,275.59927245289384,275.21198845349596,275.7086522254886,119.19279895065318,119.05511734443864,119.33035138979,118.96078631745281,119.41733203304305,-0.17594959091887769,-0.2267112840414136,-0.12752810872434533,-0.25512430465295916,-0.09949248002017123,10.766944910421588,10.76155468049993,10.771978063814444,10.75860167622883,10.77553175408497
2018-12-01,275.44144751441877,275.27858377457676,275.5997801887527,275.1907709310524,275.6942797682894,119.6809259285897,119.5459100280099,119.81681581618206,119.46760781116636,119.91694795901228,-0.17419119964267377,-0.2206575479450668,-0.12577196464389143,-0.2600519923175208,-0.09001778252908338,10.902488815165936,10.89751359024375,10.907573188217926,10.893910747830086,10.910855875236058
2019-01-01,275.4510133197905,275.3054837062053,275.6102054329978,275.18835959049585,275.7012820821064,120.16909561956427,120.02739103950738,120.30522511239762,119.95181882241937,120.38561019538008,-0.1780711780092695,-0.23074674893283584,-0.12460134764722332,-0.2584846460712231,-0.09228225818993754,10.877927099529801,10.873212824047128,10.882742441990683,10.870415298722952,10.885423874751986
2019-02-01,275.4384694825322,275.282913098303,275.59351039279204,275.17917618552565,275.697341186169,120.65811630402382,120.52118783636458,120.79199697444712,120.43785742950708,120.87242852510252,-0.1795403827677552,-0.23150166914175477,-0.12768049062958256,-0.2647615233517768,-0.09804466087464782,10.948767262180402,10.94422332831366,10.953522033386587,10.941088871904311,10.956619638101039
2019-03-01,275.4501892805928,275.28658252884605,275.6112159376525,275.1814290864036,275.73515170035284,121.15803611628917,121.02909507794955,121.28696214616244,120.95374548414368,121.3595819240009,-0.18066507870022494,-0.22818079440017866,-0.13248266712416987,-0.27088235043129527,-0.10030129236761878,10.788620668002148,10.784858700227083,10.79244319009919,10.782207657152522,10.795262609154424
2019-04-01,275.4516615054341,275.3064951427045,275.6021166907623,275.2094328047488,275.6795908402877,121.6520496361686,121.52936847750651,121.79122668374269,121.4425893308591,121.85907698908441,-0.1814488909148429,-0.229505146109999,-0.13269040232116164,-0.25999417039936523,-0.09998207479574724,10.350086773647345,10.34666747258637,10.35356804414036,10.34400916238952,10.35630076038272
2019-05-01,275.4543785403703,275.29476114245534,275.61309577471616,275.1682967666439,275.703151311019,122.15902413924547,122.02491506053346,122.29366676533255,121.9242483662156,122.38757673569862,-0.18211414369265913,-0.23250649333135112,-0.13078831249656114,-0.26979381200760155,-0.0937505078142954,10.260641414156064,10.255966693372542,10.265225158046794,10.252573070116226,10.268674245607492
2019-06-01,275.45508633436503,275.30972195822216,275.61254120081185,275.21318021900066,275.7097184395948,122.64902917557909,122.517328285284,122.77683185794223,122.43569846232126,122.872051150117,-0.1832162422741242,-0.23304023727608095,-0.13645963228931268,-0.2647631535627,-0.09874421185985814,10.17075872683613,10.165523135801745,10.176153074944825,10.162455948602918,10.17924548213353
2019-07-01,275.452942944612,275.29404976175346,275.61651099242715,275.1809887689092,275.73031186369855,123.15104297945133,123.02040923654498,123.27979965505166,122.93251352429544,123.36704678150184,-0.18035667859911247,-0.23019117037253492,-0.1369633977012768,-0.25855223759316565,-0.1059793673518011,9.522109932924172,9.520036806671081,9.524303520348344,9.518673337483825,9.525978927517214
2019-08-01,275.45157335043575,275.2886349884697,275.620088955218,275.1875794318116,275.7199750919526,123.65393033740932,123.52293468536405,123.78303009541294,123.44164184576132,123.87863644924509,-0.17438713555032498,-0.22727764488491284,-0.12462239879513658,-0.25723072919858153,-0.09250586058975002,9.419841875658955,9.415980777834266,9.423608561863329,9.413434169644077,9.426263094591773
2019-09-01,275.4611911290784,275.3003847847119,275.6205493133198,275.1876499107708,275.7260597349996,124.13635344179025,124.00351450455248,124.26504865921444,123.91543259006846,124.34695143650953,-0.17205719467065056,-0.22227032471613603,-0.12386402919285826,-0.2483734409968393,-0.08752713273613351,9.067804901316292,9.064775905906941,9.070820541397584,9.062986637551345,9.072797948361071
2019-10-01,275.4722563210365,275.32271389505246,275.6212355057246,275.2099631923967,275.7172904881516,124.64285688266678,124.51805895165108,124.768420071192,124.43454296345288,124.8557296079362,-0.1650210100811036,-0.21188355017459745,-0.11408902599013045,-0.25011802901738384,-0.08226081123665832,8.952400496221838,8.947879377851823,8.956745479243846,8.945545646256488,8.959507163647382
2019-11-01,275.4647472979757,275.29366603196166,275.61877769841107,275.19937128794356,275.73167818725517,125.1313095981272,124.99484329514695,125.27723809505751,124.89359640061956,125.34731718776763,-0.162452552174664,-0.2150257148204384,-0.11180090114765681,-0.24854391216954688,-0.08598344878636673,8.615503264177862,8.610790698699223,8.619780699737827,8.60837129287102,8.622511576225353
2019-12-01,275.46359279081656,275.3037975592921,275.62298730647075,275.213490924137,275.7238848541475,125.6261973963997,125.48985547641296,125.75583909875242,125.40790898865497,125.84951870725885,-0.15776904579963794,-0.20613011809807524,-0.1057383924506694,-0.23693833996374924,-0.07462503924202461,8.274841901106655,8.27032120497542,8.279179832625623,8.26758977941302,8.282530749315885
2020-01-01,275.46833504394255,275.31059531204374,275.62780931124405,275.2114908917394,275.7395312490239,126.12322298193784,125.99108831575613,126.24997561020895,125.89135717222936,126.34345150703945,-0.15236930176653013,-0.20461016835912438,-0.10080254693090941,-0.24019000314939543,-0.06942624509728343,7.885505110739996,7.88114513193435,7.890145763246803,7.878108228931029,7.892547781490412
2020-02-01,275.4746598158264,275.321338058381,275.629802717944,275.20642140030026,275.74482710330017,126.62109775956436,126.48209631783278,126.751676663844,126.38925576954884,126.83277683804488,-0.1459567764521765,-0.20039266321881852,-0.09703041659053563,-0.22738189188025185,-0.05919719125054602,7.48956153761734,7.485157385301929,7.493924138585554,7.482518230409702,7.496241797042809
2020-03-01,275.4612880539078,275.2836933645464,275.62636016952604,275.1796964063397,275.7557218373844,127.11543115639789,126.98799421852323,127.24370833090443,126.89781497732577,127.33127968866992,-0.1431352897370369,-0.19472399282537314,-0.09256038568081477,-0.22128085202292552,-0.05241128532653739,6.929483388523931,6.9260688447618435,6.9331115947299295,6.924303501934619,6.934936202801715
2020-04-01,275.4669789971236,275.30151958604006,275.62253282399615,275.216631036403,275.7398558800884,127.604153477513,127.46165348575057,127.74859610664231,127.36692766779771,127.8328055928627,-0.13813652264392864,-0.18956128609509404,-0.08778104543011177,-0.21771168497489024,-0.0569184535671868,6.52912659540143,6.525656159446555,6.532322910197257,6.523449168569683,6.534243199425859
2020-05-01,275.4685021219227,275.308426632858,275.61378585420056,275.1994143918617,275.72425705591206,128.09602085181086,127.96861574764773,128.22116667884998,127.89018781785948,128.3066997303369,-0.1358454427888035,-0.18660069754630093,-0.08359236245682615,-0.21681021860805416,-0.05770170010395464,6.267265118294426,6.2622365340679895,6.272139826647648,6.259664295292995,6.275218270519769
2020-06-01,275.45941184860175,275.3156768328049,275.6136975261035,275.193244283713,275.7202797353113,128.59700820729307,128.44572456055508,128.73457787629638,128.35793531630168,128.8519582745193,-0.13117322402581272,-0.18094580960228518,-0.08441205054708141,-0.2081458569000557,-0.050259251749290655,5.723709960827146,5.720304407099587,5.726990005976552,5.7179865914765085,5.729470922884171
2020-07-01,275.45485784504467,275.28785607659364,275.6191392564727,275.2154961016,275.7183400276436,129.09439971827408,128.94746431751,129.24338534640003,128.85624268453694,129.33365472701556,-0.1268981823455431,-0.17674892859921418,-0.07530450901831129,-0.20468938972076492,-0.038528716578281316,4.950383823104919,4.948056198498936,4.952737021904114,4.946254432199632,4.954405497444773
2020-08-01,275.4721346331589,275.3204335435076,275.6315879061968,275.2301085991208,275.74166301464663,129.6001063381615,129.4654557614319,129.74039052204196,129.3665676952088,129.81424763727486,-0.11886948802680125,-0.16425870444067786,-0.07616645144633577,-0.19635695526846922,-0.04327843325063457,4.2414149758592945,4.23907268252955,4.24362892022354,4.237507083440265,4.245231245432376
2020-09-01,275.4798013385422,275.3276459464236,275.6254786756823,275.2382831306669,275.72738237745403,130.08788304088395,129.95356455599705,130.21746595390036,129.87346697517566,130.29873498072854,-0.1158276781395078,-0.16270984208879347,-0.06935519433609791,-0.19556237956234743,-0.042019508541377426,3.5311882452683747,3.5288285659180088,3.533614229519925,3.527149939519072,3.535573968072898
2020-10-01,275.47155115590647,275.3093689144631,275.6366140754975,275.2052166985409,275.73776798443146,130.5822095683203,130.44615604832563,130.70567600522688,130.37130117361644,130.78835386717924,-0.11302878315173472,-0.16306180310389887,-0.06463721677182749,-0.19604418186465508,-0.025893308427178185,3.040346289869917,3.0366987049970486,3.0442006002879003,3.0342551767148533,3.04653628375734
