date,gross_reserves_usd_m,exports_usd_m,imports_usd_m,remittances_usd_m,usd_lkr,trade_balance_usd_m,m2_usd_m,tourism_usd_m,cse_net_usd_m,target_diff1,target_log,target_log_diff1,target_pct_change,split
2012-12-01,7106.0,870.9723909491089,1519.840615281137,553.1958336987818,128.036,-648.868224332028,20253.560385226734,133.47473359999998,24.92,30.0,8.868694776580972,0.004230721301295759,0.423968343697001,train
2013-01-01,7139.0,728.6704873301528,1532.2395828967108,502.2702987304283,126.72,-803.569095566558,20733.85357204861,148.77982369999998,-9.941842124446538,33.0,8.87332798950246,0.00463321292148855,0.4643962848297267,train
2013-02-01,7172.0,797.7068428421537,1433.2484412832089,469.4230744996838,126.7342,-635.5415984410552,21211.554534758576,153.3895312,9.18821590711402,33.0,8.877939834725023,0.004611845222562749,0.46224961479199855,train
2013-03-01,7205.0,832.0258408267106,1544.819950858953,511.3652636863323,126.7005,-712.7941100322424,21700.32512314474,152.3666472,40.90851629655184,33.0,8.882530508433623,0.004590673708600335,0.4601226993865115,train
2013-04-01,7238.0,696.5398243173713,1525.5540429605203,515.3293172313753,125.9673,-829.014218643149,22135.407103264104,108.6639283,31.381666666666668,33.0,8.887100204123687,0.004569695690063824,0.45801526717557106,train
2013-05-01,7270.0,793.8675557900644,1548.8009254471533,512.3554990725178,126.2432,-754.9333696570889,22174.796196951593,100.7244642,39.11739989056456,32.0,8.891511570527564,0.004411366403877182,0.44211108040894675,train
2013-06-01,7303.0,807.6126751415874,1509.3940455254678,528.2331006348323,127.9125,-701.7813703838805,22232.66116467898,121.50650610000002,12.601641331666478,33.0,8.89604050162011,0.004528931092545818,0.4539202200825265,train
2013-07-01,7336.0,859.3002286407439,1433.0315762055395,526.6277433381692,131.1345,-573.7313475647957,21928.70719307276,144.0328344,11.021666666666668,33.0,8.9005490139363,0.00450851231619076,0.4518690948925208,train
2013-08-01,7369.0,918.6373789675208,1474.908208041011,540.0171500252005,131.9682,-556.2708290734902,21849.883203286852,165.90774710000002,17.47794740823707,33.0,8.905037290767,0.004488276830699078,0.4498364231188656,train
2013-09-01,7402.0,899.0348928672161,1486.3308700693876,557.7681820988254,132.3465,-587.2959772021716,22193.320968775148,121.5872601,11.10878291744446,33.0,8.909505512946101,0.0044682221791010335,0.4478219568462505,train
2013-10-01,7434.0,1041.3319298561878,1393.6547102502932,572.954526078492,130.9955,-352.3227803941054,22920.08054978988,144.08936219999998,24.55785504611101,32.0,8.913819350857198,0.004313837911096741,0.43231559038097167,train
2013-11-01,7005.112547885943,1031.842627143399,1569.6831663124335,567.7798934674968,131.0895,-537.8405391690344,22867.89656257748,147.268378,79.81751853885208,-428.88745211405694,8.854395525435178,-0.059423825422019405,-5.769268928087934,train
2013-12-01,7495.272121523254,987.6804415027386,1551.0887289877007,602.83257708076,130.7643,-563.4082874849621,23391.650736424242,207.1582362,2.6886511455913222,490.15957363731104,8.922027716952096,0.06763219151691757,6.997169143060167,train
2014-01-01,8048.583905345139,903.9139666797748,1655.4543712331215,555.4649928517975,130.6857,-751.5404045533467,23679.483143817575,233.33567400000004,12.176593416182762,553.311783821885,8.993251442558726,0.0712237256066306,7.382144034944482,train
2014-02-01,8259.552166921556,842.3512780193341,1420.4187569877663,502.0028602715727,130.7968,-578.0674789684322,23855.634380068932,225.85842576,-38.75316729820259,210.9682615764168,9.01912564796551,0.02587420540678309,2.6211848451540787,train
2014-03-01,8059.724448730886,1070.1044568320217,1672.100925295082,605.8833771114471,130.5857,-601.9964684630604,24243.161839573553,211.80177216,-21.46694375832549,-199.82771819066966,8.994634647413896,-0.02449100055161324,-2.419352940114039,train
2014-04-01,8896.731082422368,764.2577702006421,1444.452689961651,554.0070764109681,130.5936,-680.1949197610089,24312.971778609364,179.29954152000005,-2.636531184591213,837.0066336914815,9.093439194141382,0.09880454672748584,10.38505272749466,train
2014-05-01,8772.663840758212,883.529809367989,1353.193029538538,557.4906459045135,130.3833,-469.663220170549,24380.216159807278,143.34602832000002,69.91199817401531,-124.06724166415552,9.07939578391542,-0.01404341022596256,-1.3945261525245,train
2014-06-01,9164.004705013178,985.6929784578036,1439.4000128990126,585.1055018097321,130.2714,-453.707034441209,24673.99922261525,164.24634600000002,28.800853234459744,391.3408642549657,9.123038556996779,0.04364277308135911,4.46091257294936,train
2014-07-01,8973.741181262614,956.6346767350084,1845.3214368037536,606.6550748186075,130.2123,-888.6867600687452,24810.281695715385,213.27111432000004,36.272422508938114,-190.26352375056376,9.102057945164216,-0.020980611832563056,-2.076204998525155,train
2014-08-01,9185.637359336446,992.63269049287,1724.5032441152289,548.0727325527537,130.1748,-731.8705536223589,25042.053096928128,223.37662248,-27.604013578433182,211.89617807383183,9.125396386568536,0.023338441404320065,2.361291392226428,train
2014-09-01,8821.804336421244,902.8373773847655,1667.4534675979414,574.9856248534595,130.2562,-764.6160902131759,25463.355468185007,168.0032772,-9.532112946000709,-363.8330229152016,9.084981701368966,-0.040414685199570144,-3.960890340890666,train
2014-10-01,8790.920103836674,901.8375575516689,1750.183376902154,600.0567071720749,130.5618,-848.345819350485,25668.060464102058,193.53926592000005,59.72336616461948,-30.884232584570782,9.081474661405451,-0.0035070399635142024,-0.35008974816028715,train
2014-11-01,8330.88205481358,921.1614324694976,1646.8201108412436,619.2519676205568,130.9278,-725.658678371746,25957.428796466455,190.59580584000005,43.330000000000005,-460.03804902309275,9.027724618488254,-0.05375004291719776,-5.233104653315134,train
2014-12-01,8208.41,1005.11543783744,1797.463646193876,708.8399889603842,131.0786,-792.348208356436,26400.631408406865,284.43153024,12.397221181324385,-122.47205481358105,9.012914517430085,-0.014810101058168712,-1.4700970918537615,train
2015-01-01,7252.429999999999,920.4476963793944,1681.638791031421,523.519712878593,131.6075,-761.1910946520267,26347.70569299622,258.96368285999995,0.9048715580525766,-955.9800000000005,8.889091864104788,-0.12382265332529663,-11.646348074718492,train
2015-02-01,7420.4554996301695,907.2515049439392,1529.5265400541437,511.6433953413521,132.7221,-622.2750351102045,26314.824361112427,274.3693088099999,27.157818525356724,168.0254996301701,8.911995722367573,0.022903858262784738,2.3168165653466577,train
2015-03-01,6819.545505227352,1068.1060192583625,1580.9272446218558,644.2602425886938,132.95,-512.8212253634933,26729.06404865739,260.29789791,10.544939926328809,-600.9099944028176,8.827548107154602,-0.08444761521297117,-8.09802032277892,train
2015-04-01,7454.631473478869,716.9613847423697,1490.4509529838303,585.9398490044716,132.9227,-773.4895682414607,27033.79829454262,202.56367797,6.2756059521261705,635.0859682515174,8.916590792506659,0.08904268535205695,9.312731585480405,train
2015-05-01,6845.77,886.0799616559248,1585.454308617008,537.735348282721,133.46,-699.3743469610833,27283.613290753783,188.16409989,13.285780092106933,-608.8614734788689,8.831386222265174,-0.0852045702414852,-8.167559666027735,train
2015-06-01,7525.485379478358,945.5608430207932,1678.7413939501655,629.565391314044,133.9382,-733.1805509293723,27456.52663729989,191.37616047,-13.343004924055002,679.7153794783571,8.926050589793155,0.09466436752798124,9.928983583707263,train
2015-07-01,6808.550649772876,937.1303438840304,1533.8807808781642,599.2998373972191,133.6818,-596.7504369941338,27918.816620646936,291.37930764,-4.830728168170282,-716.9347297054819,8.825934549733974,-0.10011604005918073,-9.52675732598629,train
2015-08-01,6457.719028229418,802.1047080460835,1523.3760244315254,566.0370747735901,133.8519,-721.2713163854419,28269.08093725976,276.14108009999995,-32.15968804631892,-350.8316215434579,8.773031442819775,-0.05290310691419897,-5.15280915998122,train
2015-09-01,6783.679258500682,853.1930077327272,1582.7227992084577,584.176236722284,139.2329,-729.5297914757305,27448.99671744968,237.62950134,1.3363103368508007,325.96023027126466,8.82227489724153,0.04924345442175415,5.0476062654066345,train
2015-10-01,6480.684974502037,850.7400210189741,1638.2704551726467,605.1425603891124,140.851,-787.5304341536727,27448.99671744968,219.2421948,-1.2728683657532258,-302.9942839986452,8.776581489701513,-0.04569340754001594,-4.4665184253657175,train
2015-11-01,7281.211071319568,838.4221305919958,1464.8793205654338,574.464192736019,141.9637,-626.457189973438,27793.906925911346,238.91067926999995,-0.4428710774356261,800.5260968175307,8.893052483305604,0.11647099360409108,12.352492058588949,train
2015-12-01,7303.637753940239,820.500899422696,1644.7273874133791,618.5176333174204,143.335,-824.2264879906832,28305.801965549235,341.61540474,-3.440817615831932,22.426682620671272,8.896127825472647,0.0030753421670421943,0.30800758831190933,train
2016-01-01,6294.321468539339,898.5946185751349,1589.1274650552757,563.4316940355515,143.5505,-690.5328464801408,28581.9389870812,333.3145392,-18.88047478137486,-1009.3162854009006,8.747403151715558,-0.14872467375708887,-13.81936398552056,train
2016-02-01,6573.369087438172,891.5970221812355,1439.3103148514124,554.1924570180978,143.639,-547.7132926701769,28950.4209315548,339.17688108,8.781888957791374,279.0476188988332,8.790781778739166,0.04337862702360873,4.433323278666101,train
2016-03-01,6221.186356293166,949.011635083698,1566.028121829301,675.7404718166489,145.1335,-617.016486745603,28982.963368333298,330.84573324,-2.401952734517458,-352.1827311450061,8.735715900069106,-0.05506587867006019,-5.357720317546654,train
2016-04-01,6068.525257617199,710.3897803653814,1460.8906891889208,578.0044486161236,145.2019,-750.5009088235394,29214.915226336092,233.95667988,-6.992528914842932,-152.66109867596697,8.710870898623476,-0.024845001445630288,-2.453890462894426,train
2016-05-01,5645.141094794298,780.1272098015405,1589.8369421072923,597.2366386830122,145.9081,-809.7097323057518,29066.809874420953,214.53048816,-17.77449497057571,-423.3841628229011,8.638550470920524,-0.07232042770295166,-6.9767224300742665,train
2016-06-01,5292.27,900.5619459385096,1675.802035776332,644.480992933533,145.8609,-775.2400898378226,29552.007183939837,202.51071431999995,-3.632252005446034,-352.8710947942973,8.574002544341512,-0.06454792657901187,-6.250881755988347,train
2016-07-01,6489.187703676498,891.5439655383419,1432.798930567194,572.7679136535048,145.401,-541.2549650288521,30224.721502961947,359.17094963999995,10.098365652837074,1196.9177036764977,8.777892640643937,0.20389009630242505,22.6163386160664,train
2016-08-01,6598.941049091874,866.3099109246001,1649.0886004680874,618.2873505229056,145.2035,-782.7786895434873,30542.233403460665,319.60314432,6.72736667415591,109.75334541537632,8.794664468034211,0.01677182739027394,1.6913264098246783,train
2016-09-01,6455.718499925342,897.8775700778094,1508.2611045601425,577.8753625923472,145.4581,-610.3835344823331,31293.824305555896,254.77082436,5.055995843146128,-143.2225491665322,8.772721606137527,-0.021942861896684818,-2.170386856028095,train
2016-10-01,6053.842609846051,855.0431213174927,1723.5223677947777,607.532058283979,146.76,-868.479246477285,31457.920672239852,258.0648531599999,8.263228902220327,-401.8758900792909,8.70844849153081,-0.06427311460671703,-6.225114835535939,train
2016-11-01,5644.133101910387,809.6505412056308,1732.0802257051048,567.3784015429475,147.81,-922.429684499474,31684.15532827224,286.88417387999993,2.041111139064917,-409.7095079356641,8.63837189559867,-0.07007659593213944,-6.767759493273029,train
2016-12-01,6019.035611001512,859.0316990634382,1816.0953106251125,684.6037351582894,148.8152,-957.0636115616744,32413.08060771292,385.66043124,27.79739731246515,374.90250909112456,8.70268232796182,0.06431043236315048,6.642339971823663,train
2017-01-01,5453.161533649116,864.7176173932837,1798.9439527053685,670.2874237389387,149.8342,-934.2263353120848,32475.970718158067,406.80882336,-10.988898759939438,-565.874077352396,8.603950817382804,-0.0987315105790163,-9.401407699235055,train
2017-02-01,5634.658678738561,867.8069877581088,1611.159888432676,598.086845291198,150.8721,-743.3529006745673,32817.95257759149,366.300411942,59.56740481362763,181.49714508944544,8.63669185298691,0.03274103560410602,3.328292110356612,train
