date,exports_usd_m,imports_usd_m,remittances_usd_m,tourism_usd_m,usd_lkr,scenario
2025-10-01,1096.4236603368106,1581.8625463176072,651.6378938075762,362.060824032,296.7524548727983,Export Shock (-15%)
2025-11-01,1080.1683198587423,1582.2598819131426,651.7361171230607,362.060824032,296.75255167725584,Export Shock (-15%)
2025-12-01,1063.8750313799796,1582.0739885523255,651.6966716757885,362.060824032,296.7525827911886,Export Shock (-15%)
2026-01-01,1047.59432751898,1582.1609587155433,651.7125125512755,362.060824032,296.75259279152164,Export Shock (-15%)
2026-02-01,1031.3094512100113,1582.1202697460349,651.7061510227963,362.060824032,296.7525960057299,Export Shock (-15%)
2026-03-01,1015.0259579529669,1582.1393060704295,651.7087057455213,362.060824032,296.75259703880903,Export Shock (-15%)
2025-04-01,1178.1420673169243,1556.3203008879102,635.0009151152337,362.060824032,296.62319860627235,Remittance Decline (-20%)
2025-05-01,1199.5367609808293,1594.2098151662785,646.4461276644312,362.060824032,296.71100740447133,Remittance Decline (-20%)
2025-06-01,1192.333903066037,1576.4832152138006,625.4130651104591,362.060824032,296.73923004127886,Remittance Decline (-20%)
2025-07-01,1194.7588577279594,1584.7766006493218,617.1832941359786,362.060824032,296.74830108250376,Remittance Decline (-20%)
2025-08-01,1193.9424588510217,1580.8965423095103,603.9080936579776,362.060824032,296.75121660699796,Remittance Decline (-20%)
2025-09-01,1194.2173122892038,1582.7118266511568,592.6204365468118,362.060824032,296.75215368609014,Remittance Decline (-20%)
2025-10-01,1194.1247785846451,1581.8625463176072,580.5501235740225,362.060824032,296.7524548727983,Remittance Decline (-20%)
2025-11-01,1194.1559315021273,1582.2598819131426,568.7878840346712,362.060824032,296.75255167725584,Remittance Decline (-20%)
2025-12-01,1194.1454433856916,1582.0739885523255,556.9044285229465,362.060824032,296.7525827911886,Remittance Decline (-20%)
2026-01-01,1194.148974373967,1582.1609587155433,545.0686468610668,362.060824032,296.75259279152164,Remittance Decline (-20%)
