date,gross_reserves_usd_m,fx_reserves_usd_m,imf_position_usd_m,sdrs_usd_m,gold_usd_m,predetermined_short_term_net_drains_usd_m,fx_forward_short_positions_usd_m,exports_usd_m,imports_usd_m,tourism_earnings_usd_m,remittances_usd_m,usd_lkr,services_inflows_usd_m,services_outflows_usd_m,services_balance_usd_m,reserve_money_rs_m,m2_rs_m,m2b_rs_m,nfa_monetary_authorities_rs_m,nfa_commercial_banks_rs_m,m2b_nfa_rs_m,neer_index,reer_index,current_account_usd_m,current_account_plus_capital_usd_m,gross_external_debt_market_usd_m,short_term_external_debt_market_usd_m,long_term_external_debt_market_usd_m,banking_sector_external_liabilities_market_usd_m,gross_external_debt_face_usd_m,gross_external_debt_face_pct_gdp,central_bank_external_swap_liabilities_usd_m,external_debt_service_payments_usd_m,external_debt_service_amortization_usd_m,external_debt_service_interest_usd_m,debt_service_to_exports_services_pct,debt_service_to_external_receipts_pct,imports_trailing_3m_avg_usd_m,import_cover_months,reserve_net_drains_usd_m,adjusted_usable_reserves_usd_m,adjusted_usable_reserve_cover_months,trade_balance_usd_m,buffer_inflows_usd_m,buffer_inflows_share_imports,underlying_balance_official_usd_m,underlying_balance_proxy_usd_m,current_account_proxy_usd_m,current_account_filled_usd_m,underlying_balance_filled_usd_m,reserve_block_raw,usd_lkr_depreciation_raw,neer_depreciation_raw,reserve_change_pressure_raw,fx_market_pressure_raw,external_balance_pressure_user_raw,external_balance_pressure_adjusted_raw,buffer_inflow_support_raw,current_account_pressure_raw,short_term_external_debt_to_reserves_raw,external_debt_to_reserves_raw,debt_service_to_external_receipts_raw,gross_reserves_lkr_m,adjusted_usable_reserves_lkr_m,m2b_to_adjusted_reserves_raw,m2b_nfa_deterioration_raw,reserve_block_z,usd_lkr_depreciation_z,neer_depreciation_z,reserve_change_pressure_z,external_balance_pressure_user_z,external_balance_pressure_adjusted_z,buffer_inflow_support_z,current_account_pressure_z,short_term_external_debt_to_reserves_z,debt_service_to_external_receipts_z,m2b_to_adjusted_reserves_z,m2b_nfa_deterioration_z,fx_market_pressure_z,external_financing_pressure_z,resident_fx_liability_pressure_z,slepi_user_spec,slepi_legacy_adjusted,slepi_adjusted
1998-12-01,,,,,,,,,,,,,,,,92866.0,316174.0,377740.32183268,101744.0,3904.0,105648.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,-0.012206798516051567,,,,,,,,,,,,-0.5638634150690334,,,-0.5638634150690334,,,
1999-01-01,,,,,,,,,,,,,,,,91959.0,317257.0,380299.85298356,101247.0,3566.0,104813.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.002195635873769576,,,,,,,,,,,,0.3580212016791567,,,0.3580212016791567,,,
1999-02-01,,,,,,,,,,,,,,,,94074.0,319410.0,383477.98804955,99221.0,5343.0,104564.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0006493201898405345,,,,,,,,,,,,0.2534918132450766,,,0.2534918132450766,,,
1999-03-01,,,,,,,,,,,,,,,,98074.0,324606.0,390991.0629881,98779.0,10111.0,108890.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,-0.011064191511026082,,,,,,,,,,,,-0.50980608569728,,,-0.50980608569728,,,
1999-04-01,,,,,,,,,,,,,,,,96837.0,326329.0,392015.0,96047.0,9340.0,105387.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.008935882555514457,,,,,,,,,,,,0.8082299996755599,,,0.8082299996755599,,,
1999-05-01,,,,,,,,,,,,,,,,96809.0,327371.0,397190.603683,96066.0,8306.0,104372.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0025554481666693126,,,,,,,,,,,,0.3718662253722659,,,0.3718662253722659,,,
1999-06-01,,,,,,,,,,,,,,,,93446.0,327709.0,397566.032305635,95392.0,5514.0,100906.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.008718048621758156,,,,,,,,,,,,0.7764597194171708,,,0.7764597194171708,,,
1999-07-01,,,,,,,,,,,,,,,,93498.0,330177.0,402315.97828872,95141.0,5271.0,100412.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0012278905801883996,,,,,,,,,,,,0.2612066682535321,,,0.2612066682535321,,,
1999-08-01,,,,,,,,,,,,,,,,94756.0,331125.0,401414.74317757,93081.0,6514.0,99595.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0020353014279761807,,,,,,,,,,,,0.3124948992905323,,,0.3124948992905323,,,
1999-09-01,,,,,,,,,,,,,,,,93053.0,337568.0,408340.17680575,93055.0,8068.0,101123.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0037419781025536444,,,,,,,,,,,,-0.08580159928874287,,,-0.08580159928874287,,,
1999-10-01,,,,,,,,,,,,,,,,94775.0,341900.0,412127.59103452,91230.0,13780.0,105010.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,-0.009431545192698402,,,,,,,,,,,,-0.4775877415716,,,-0.4775877415716,,,
1999-11-01,,,,,,,,,,,,,,,,94799.0,350033.0,419280.14368924,89580.0,12310.0,101890.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.007441325440664002,,,,,,,,,,,,0.7034975291260558,,,0.7034975291260558,,,
1999-12-01,,,,,,,,,,,,,,,,100444.0,358076.0,428318.587450785,89287.0,12805.0,102092.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00047161156652630767,,,,,,,,,,,,0.1383875403783651,,,0.1383875403783651,,,
2000-01-01,,,,,,,,,,,,,,,,100639.0,359623.0,432180.66009792,90424.0,11612.0,102036.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001295754418703326,,,,,,,,,,,,0.17943447082835007,,,0.17943447082835007,,,
2000-02-01,,,,,,,,,,,,,,,,98687.0,361256.0,433555.76094701,91536.0,9973.0,101509.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0012155299213390245,,,,,,,,,,,,0.25511837020916706,,,0.25511837020916706,,,
2000-03-01,,,,,,,,,,,,,,,,102943.0,366263.0,441840.761509045,90350.0,8724.0,99074.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.005511035223829507,,,,,,,,,,,,0.5621830568481669,,,0.5621830568481669,,,
2000-04-01,,,,,,,,,,,,,,,,102623.0,369479.0,439970.174389,87057.0,11310.0,98367.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.001606927108142802,,,,,,,,,,,,0.271437398308344,,,0.271437398308344,,,
2000-05-01,,,,,,,,,,,,,,,,101353.0,365197.0,435694.160843035,80141.0,8817.0,88958.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.02159542368388482,,,,,,,,,,,,1.7331776178223761,,,1.7331776178223761,,,
